family,label,x,y,z,radius,n_points,n_ligands,support,dx,dy,dz
Acceptor,Acceptor 1,6.0262,2.1514,-1.392,3.0,59,48,0.96,,,
Aromatic,Aromatic 1,3.5482,1.7928,-0.0999,3.0,43,43,0.86,,,
LumpedHydrophobe,LumpedHydrophobe 1,3.83,1.9169,0.0523,3.0,40,40,0.8,,,
Donor,Donor 1,6.0353,3.2343,-1.5124,3.0,29,29,0.58,,,
Acceptor,Acceptor 2,-2.9651,-2.8918,-0.4441,3.0,28,28,0.56,,,
