family,ligand_id,x,y,z,dx,dy,dz
Acceptor,FCG2947887977,-1.453,-0.952,-1.386,0.539,-0.238,-0.808
Acceptor,FCG2947887977,-3.255,-2.807,-0.355,0.202,-0.978,-0.045
PosIonizable,FCG2947887977,-0.035,-0.272,0.939,,,
Aromatic,FCG2947887977,3.606,1.412,0.055,0.505,0.248,0.827
LumpedHydrophobe,FCG2947887977,3.606,1.412,0.055,,,
Donor,OSSM_120554,1.465,0.896,3.089,0.798,0.53,0.286
Donor,OSSM_120554,5.574,3.091,-1.163,0.677,-0.662,-0.322
Donor,OSSM_120554,7.28,-1.353,-1.417,0.36,0.842,-0.402
Acceptor,OSSM_120554,1.465,0.896,3.089,-0.281,0.547,0.789
Acceptor,OSSM_120554,5.574,3.091,-1.163,0.638,0.55,-0.539
Acceptor,OSSM_120554,5.999,0.444,-0.905,0.635,0.563,-0.529
Acceptor,OSSM_120554,7.28,-1.353,-1.417,0.808,-0.351,-0.472
PosIonizable,OSSM_120554,-0.27,0.795,0.858,,,
Aromatic,OSSM_120554,3.806,1.602,0.323,-0.548,-0.176,-0.818
Aromatic,OSSM_120554,5.122,-0.361,-0.167,-0.549,-0.155,-0.821
LumpedHydrophobe,OSSM_120554,3.806,1.602,0.323,,,
LumpedHydrophobe,OSSM_120554,-1.758,0.932,-0.252,,,
Donor,MCULE-4357750750,5.578,2.595,-1.374,0.842,0.052,-0.536
Acceptor,MCULE-4357750750,5.578,2.595,-1.374,-0.041,0.794,-0.607
Acceptor,MCULE-4357750750,5.745,-0.687,1.144,0.041,-0.792,0.609
PosIonizable,MCULE-4357750750,-1.716,0.511,-0.667,,,
Aromatic,MCULE-4357750750,3.471,0.893,1.134,0.393,0.576,0.716
Aromatic,MCULE-4357750750,5.686,0.41,0.302,0.395,0.572,0.719
LumpedHydrophobe,MCULE-4357750750,3.471,0.893,1.134,,,
Donor,Z1317932814,5.337,3.239,-1.396,0.765,-0.62,-0.175
Acceptor,Z1317932814,-2.95,-3.908,-0.461,-0.117,0.908,-0.403
Acceptor,Z1317932814,-3.948,-5.899,0.392,-0.824,-0.522,0.222
Acceptor,Z1317932814,5.869,0.624,-0.601,0.855,-0.414,-0.312
Acceptor,Z1317932814,5.337,3.239,-1.396,0.629,0.522,-0.576
Acceptor,Z1317932814,2.428,2.336,0.644,-0.839,0.447,0.312
PosIonizable,Z1317932814,0.404,-0.018,1.271,,,
Aromatic,Z1317932814,-2.82,-5.159,0.079,0.004,-0.392,-0.92
Donor,STK632659,1.465,0.896,3.089,0.798,0.53,0.286
Donor,STK632659,5.574,3.091,-1.163,0.677,-0.662,-0.322
Donor,STK632659,7.28,-1.353,-1.417,0.36,0.842,-0.402
Acceptor,STK632659,1.465,0.896,3.089,-0.281,0.547,0.789
Acceptor,STK632659,5.574,3.091,-1.163,0.638,0.55,-0.539
Acceptor,STK632659,5.999,0.444,-0.905,0.635,0.563,-0.529
Acceptor,STK632659,7.28,-1.353,-1.417,0.808,-0.351,-0.472
PosIonizable,STK632659,-0.27,0.795,0.858,,,
Aromatic,STK632659,3.806,1.602,0.323,-0.548,-0.176,-0.818
Aromatic,STK632659,5.122,-0.361,-0.167,-0.549,-0.155,-0.821
LumpedHydrophobe,STK632659,3.806,1.602,0.323,,,
LumpedHydrophobe,STK632659,-1.758,0.932,-0.252,,,
Donor,MCULE-5351999624,-2.611,-3.752,-0.621,-0.223,0.916,0.334
Donor,MCULE-5351999624,-1.87,-5.74,1.242,-0.824,0.11,-0.555
Acceptor,MCULE-5351999624,-0.298,1.809,1.025,-0.608,-0.291,0.738
Acceptor,MCULE-5351999624,-2.611,-3.752,-0.621,-0.954,0.131,-0.268
Acceptor,MCULE-5351999624,-1.87,-5.74,1.242,-0.454,-0.89,0.029
Acceptor,MCULE-5351999624,5.736,3.247,-0.769,0.683,-0.599,-0.417
Acceptor,MCULE-5351999624,5.34,0.727,-1.331,0.85,0.494,-0.182
PosIonizable,MCULE-5351999624,-1.173,-1.494,0.215,,,
Aromatic,MCULE-5351999624,3.232,2.161,-0.229,0.307,-0.245,0.92
LumpedHydrophobe,MCULE-5351999624,3.232,2.161,-0.229,,,
Donor,MCULE-3005884355,-3.245,-3.144,-0.415,0.519,-0.397,-0.757
Donor,MCULE-3005884355,1.414,-0.685,-1.341,-0.766,-0.201,-0.611
Acceptor,MCULE-3005884355,1.11,2.023,1.807,0.011,0.299,0.954
Acceptor,MCULE-3005884355,-3.245,-3.144,-0.415,-0.103,-0.994,0.046
Acceptor,MCULE-3005884355,1.414,-0.685,-1.341,0.197,-0.887,-0.418
Acceptor,MCULE-3005884355,5.948,1.246,-0.757,-0.041,-0.46,-0.887
PosIonizable,MCULE-3005884355,-1.389,0.123,-0.258,,,
Aromatic,MCULE-3005884355,3.533,1.631,0.542,-0.12,0.864,-0.488
LumpedHydrophobe,MCULE-3005884355,3.533,1.631,0.542,,,
Donor,MCULE-1064508720,-3.106,-3.296,-0.183,0.092,0.09,-0.992
Donor,MCULE-1064508720,0.666,-0.708,-1.387,0.276,0.651,-0.707
Acceptor,MCULE-1064508720,0.997,2.745,0.732,-0.056,0.998,-0.015
Acceptor,MCULE-1064508720,-3.106,-3.296,-0.183,0.016,-0.922,-0.386
Acceptor,MCULE-1064508720,0.666,-0.708,-1.387,-0.099,-0.465,-0.879
Acceptor,MCULE-1064508720,5.693,0.446,-1.048,0.781,0.624,-0.031
PosIonizable,MCULE-1064508720,-1.704,0.128,0.583,,,
Aromatic,MCULE-1064508720,3.282,1.504,-0.193,-0.216,0.276,-0.936
LumpedHydrophobe,MCULE-1064508720,3.282,1.504,-0.193,,,
Donor,MCULE-1296496099,2.903,-1.53,1.66,0.934,0.357,0.033
Acceptor,MCULE-1296496099,5.594,3.547,-0.851,0.575,-0.237,-0.783
Acceptor,MCULE-1296496099,2.903,-1.53,1.66,0.555,-0.652,0.517
PosIonizable,MCULE-1296496099,-0.228,0.517,1.066,,,
Aromatic,MCULE-1296496099,3.857,1.591,0.066,0.715,-0.355,0.602
LumpedHydrophobe,MCULE-1296496099,3.857,1.591,0.066,,,
Donor,FCG2878104926,4.379,5.308,-0.753,0.869,-0.476,-0.135
Donor,FCG2878104926,5.687,3.05,-1.122,0.589,-0.656,-0.472
Donor,FCG2878104926,7.158,-1.779,-0.281,-0.088,-0.933,0.348
Acceptor,FCG2878104926,2.12,5.023,-0.598,-0.922,0.386,-0.031
Acceptor,FCG2878104926,5.687,3.05,-1.122,0.762,0.486,-0.427
Acceptor,FCG2878104926,7.158,-1.779,-0.281,0.862,-0.485,-0.151
PosIonizable,FCG2878104926,6.77,6.54,-1.789,,,
Aromatic,FCG2878104926,3.546,1.708,0.015,0.314,0.225,0.922
Aromatic,FCG2878104926,4.814,-0.391,0.12,0.299,0.232,0.926
LumpedHydrophobe,FCG2878104926,3.546,1.708,0.015,,,
LumpedHydrophobe,FCG2878104926,4.814,-0.391,0.12,,,
Donor,Z1993819341,-3.09,-2.775,-0.234,0.575,-0.437,-0.692
