family,ligand_id,x,y,z,cluster,kept
Acceptor,FCG2880127876,7.269,-1.677,0.374,0,1
Acceptor,FCG2947887977,4.927,3.418,-1.362,0,1
Acceptor,FCG2947887977,5.986,0.958,-1.299,0,1
Acceptor,FCG2947887977,4.745,-1.111,0.159,0,1
Acceptor,FCG2947887977,-1.453,-0.952,-1.386,1,1
Acceptor,FCG2947887977,-3.255,-2.807,-0.355,1,1
Acceptor,OSSM_120554,1.465,0.896,3.089,2,0
Acceptor,OSSM_120554,5.574,3.091,-1.163,0,1
Acceptor,OSSM_120554,5.999,0.444,-0.905,0,1
Acceptor,OSSM_120554,7.28,-1.353,-1.417,0,1
Acceptor,MCULE-4357750750,5.578,2.595,-1.374,0,1
Acceptor,MCULE-4357750750,5.745,-0.687,1.144,0,1
Acceptor,Z1317932814,-2.95,-3.908,-0.461,1,1
Acceptor,Z1317932814,-3.948,-5.899,0.392,1,1
Acceptor,Z1317932814,5.869,0.624,-0.601,0,1
Acceptor,Z1317932814,5.337,3.239,-1.396,0,1
Acceptor,STK632659,1.465,0.896,3.089,2,0
Acceptor,STK632659,5.574,3.091,-1.163,0,1
Acceptor,STK632659,5.999,0.444,-0.905,0,1
Acceptor,STK632659,7.28,-1.353,-1.417,0,1
Acceptor,MCULE-5351999624,-0.298,1.809,1.025,2,0
Acceptor,MCULE-5351999624,-2.611,-3.752,-0.621,1,1
Acceptor,MCULE-5351999624,-1.87,-5.74,1.242,1,1
Acceptor,MCULE-5351999624,5.736,3.247,-0.769,0,1
Acceptor,MCULE-5351999624,5.34,0.727,-1.331,0,1
Acceptor,MCULE-3005884355,1.11,2.023,1.807,2,0
Acceptor,MCULE-3005884355,-3.245,-3.144,-0.415,1,1
Acceptor,MCULE-3005884355,1.414,-0.685,-1.341,2,0
Acceptor,MCULE-3005884355,5.948,1.246,-0.757,0,1
Acceptor,MCULE-1064508720,0.998,2.745,0.732,2,0
Acceptor,MCULE-1064508720,-3.106,-3.296,-0.183,1,1
Acceptor,MCULE-1064508720,0.666,-0.708,-1.387,1,1
Acceptor,MCULE-1064508720,5.693,0.446,-1.048,0,1
Acceptor,MCULE-1296496099,5.594,3.547,-0.851,0,1
Acceptor,MCULE-1296496099,2.903,-1.53,1.66,2,0
Acceptor,FCG2878104926,2.12,5.023,-0.598,2,0
Acceptor,FCG2878104926,5.687,3.05,-1.122,0,1
Acceptor,FCG2878104926,7.158,-1.779,-0.281,0,1
Acceptor,Z1993819341,-3.09,-2.775,-0.234,1,1
Acceptor,Z1993819341,6.325,0.981,-0.696,0,1
Acceptor,Z1993819341,5.208,3.233,-1.411,0,1
Acceptor,Z56801208,3.752,2.916,4.327,2,0
Acceptor,Z56801208,5.675,2.438,-0.95,0,1
Acceptor,Z56801208,1.127,2.601,3.324,2,0
Acceptor,Z56801208,-3.355,-3.109,-0.737,1,1
Acceptor,FCG2946094125,5.643,3.261,-0.711,0,1
