het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
HEF,CC1=C(N(C(=O)NC1=O)COCCO)Sc2ccccc2,Cc1c(Sc2ccccc2)n(COCCO)c(=O)[nH]c1=O,7.4,3,5.78;8.44;9.47,,pkasolver
HWY,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@@H]2C[C@H]3[C@@H](C2)OC(=O)N3c4ccccc4)O)S(=O)(=O)c5ccc(cc5)OC,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC(=O)N(c4ccccc4)[C@H]3C2)cc1,7.4,5,3.71;4.32;4.47;8.36;8.49,,pkasolver
IB1,COc1cc(c(c(c1)F)C(=O)c2ccnc(n2)Nc3ccc(cc3)C#N)F,COc1cc(F)c(C(=O)c2ccnc(Nc3ccc(C#N)cc3)n2)c(F)c1,7.4,3,3.18;4.80;8.04,,pkasolver
J0S,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@@H]2C[C@H]3[C@@H](C2)OC(=O)N3)O)S(=O)(=O)c4ccc(cc4)OC,COc1ccc(S(=O)(=O)[NH+](CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3NC(=O)O[C@@H]3C2)cc1,7.4,6,3.84;4.44;5.44;8.16;8.22;8.85,,pkasolver
JGZ,Cc1cc(cc(c1Oc2ccnc(n2)NC3CCN(CC3)c4ccc(cc4)S(=O)(=O)N)C)C#N,Cc1cc(C#N)cc(C)c1Oc1ccnc([NH2+]C2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)n1,7.4,5,3.49;3.65;7.36;7.65;9.65,,pkasolver
KBT,CCCCN1C(=C(C(=O)NC1=O)C(C)C)C(=O)c2cc(cc(c2)C#N)C,CCCCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,7.4,2,5.20;9.16,,pkasolver
KR1,Cc1cc(cc(c1)C(=O)C2=C(C(=O)NC(=O)N2Cc3cc(nc(c3)F)N)C(C)C)C#N,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(N)nc(F)c2)c1,7.4,5,3.31;4.29;5.29;7.43;8.84,,pkasolver
KRP,CCCN1C(=C(C(=O)NC1=O)C(C)C)C(=O)c2cc(cc(c2)C#N)C,CCCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,7.4,2,5.17;9.09,,pkasolver
KRV,CCN1C(=C(C(=O)NC1=O)C(C)C)C(=O)c2cc(cc(c2)C#N)C,CCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,7.4,2,5.17;9.08,,pkasolver
LP1,CC[C@@H](C(=O)N[C@@H](Cc1cccc2c1cccc2)C(=O)N)NC(=O)C[C@@H]([C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc3cccc4c3cccc4)NC(=O)C)O,CC[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1cccc2ccccc12)C(N)=O,7.4,10,6.99;7.00;7.16;7.62;7.95;8.05;8.33;8.64;9.00;9.35,,pkasolver
LP7,CCOC(=O)[C@H]1C(c2cccnc2N(C1=O)O)O,CCOC(=O)[C@@H]1C(=O)N([O-])c2ncccc2C1O,7.4,3,2.82;6.27;8.71,,pkasolver
LP8,c1cc2c(nc1)N(C(=O)C(=C2O)C3CCCC3)O,O=c1c(C2CCCC2)c(O)c2cccnc2n1[O-],7.4,3,4.20;5.26;7.80,,pkasolver
LP9,CCN(CC)c1ccc(cc1)Oc2cc3c(nc2)N(C(=O)C(=C3O)C(=O)OCC)O,CCOC(=O)c1c([O-])c2cc(Oc3ccc(N(CC)CC)cc3)cnc2n([O-])c1=O,7.4,4,4.06;5.07;5.48;7.15,,pkasolver
M06,CC1=C(C(=O)N(C=C1)Cc2c3cccnc3n[nH]2)Oc4cc(cc(c4)Cl)C#N,Cc1ccn(Cc2[nH]nc3ncccc23)c(=O)c1Oc1cc(Cl)cc(C#N)c1,7.4,3,3.85;4.80;9.18,,pkasolver
M14,c1cc(c(cc1S(=O)(=O)N)Cl)NC(=O)COc2cc(cc(c2)Cl)Oc3cc(cc(c3)Cl)C#N,N#Cc1cc(Cl)cc(Oc2cc(Cl)cc(OCC(=O)Nc3ccc(S(N)(=O)=O)cc3Cl)c2)c1,7.4,4,4.13;6.62;8.59;9.24,,pkasolver
M22,c1ccc2c(c1)c(n[nH]2)COc3ccc(c(c3)Oc4cc(cc(c4)Cl)C#N)Cl,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4ccccc34)ccc2Cl)c1,7.4,3,3.66;4.55;9.83,,pkasolver
MKC,CCOCN1C(=C(C(=O)NC1=O)C(C)C)Cc2ccccc2,CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O,7.4,2,5.61;9.58,,pkasolver
MRX,c1cc2c(cc1Br)c(c([nH]2)C(=O)N)S(=O)(=O)N3CCCC3,NC(=O)c1[nH]c2ccc(Br)cc2c1S(=O)(=O)[NH+]1CCCC1,7.4,5,3.64;3.79;4.89;8.16;9.50,,pkasolver
NQ4,C1C[C@H](O[C@H]1COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=CC(=NC2=O)N,Nc1ccn([C@@H]2CC[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1,7.4,6,2.87;3.17;3.65;3.84;4.06;5.39,aryl_amine:1,pkasolver+weak_acid_guard
NVE,CCN1c2c(cccn2)N(C(=O)c3c1ncc(c3)CCc4ccc(cc4)OCP(=O)(OCC)OCC)C,CCOP(=O)(COc1ccc(CCc2cnc3c(c2)C(=O)N(C)c2cccnc2N3CC)cc1)OCC,7.4,4,3.25;4.18;5.00;6.24,,pkasolver
P1Y,COc1ccc(cc1Br)Cc2nc(c(c(n2)O)O)C(=O)O,COc1ccc(Cc2nc([O-])c([O-])c(C(=O)[O-])n2)cc1Br,7.4,5,3.02;3.08;4.22;4.79;5.56,,pkasolver
P4Y,c1ccc(cc1)c2c(c3ccccc3[nH]2)Cc4nc(c(c(n4)O)O)C(=O)O,O=C([O-])c1nc(Cc2c(-c3ccccc3)[nH]c3ccccc23)nc([O-])c1[O-],7.4,7,3.34;3.40;4.43;4.98;5.01;5.70;7.60,,pkasolver
PC0,CCOc1ccnc(c1F)CCNC(=S)Nc2ccc(cn2)C,CCOc1ccnc(CCNC(=S)Nc2ccc(C)cn2)c1F,7.4,5,3.67;3.75;4.31;4.83;10.18,,pkasolver
PDZ,c1ccc(cc1)Oc2c(ccc(c2F)CC3=NNC(=O)C=C3)Cl,O=c1ccc(Cc2ccc(Cl)c(Oc3ccccc3)c2F)n[nH]1,7.4,2,4.11;9.75,,pkasolver
PPN,c1cc(ccc1C[C@@H](C(=O)O)N)[N+](=O)[O-],[NH3+][C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)[O-],7.4,2,3.62;7.83,,pkasolver
PZ2,Cc1cc(cc(c1)Oc2ccc(cc2Br)Cc3c4ccnnc4[nH]n3)C#N,Cc1cc(C#N)cc(Oc2ccc(Cc3n[nH]c4nnccc34)cc2Br)c1,7.4,3,3.79;4.68;8.73,,pkasolver
PZL,c1cc(c(c(c1Cc2c3ccnnc3[nH]n2)F)Oc4cc(cc(c4)Cl)C#N)Br,N#Cc1cc(Cl)cc(Oc2c(Br)ccc(Cc3n[nH]c4nnccc34)c2F)c1,7.4,3,3.73;4.51;8.47,,pkasolver
