het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
0E8,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](CNC[C@H]([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)O)O,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+]C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,7.4,4,6.17;8.43;9.40;9.49,,pkasolver
146,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4[nH]c5ccccc5n4)Cc6cccc(c6)C(=O)Nc7[nH]c8ccccc8n7)Cc9ccccc9)O)O,O=C(Nc1nc2ccccc2[nH]1)c1cccc(CN2C(=O)[NH+](Cc3cccc(C(=O)Nc4nc5ccccc5[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,7.4,11,4.46;4.54;5.06;5.19;6.28;7.76;7.88;8.09;8.21;8.59;8.85,,pkasolver
5MA,c1cc2c([nH]nc2nc1)Cn3c4ccc(c(c4nn3)Oc5cc(cc(c5Cl)CN)Cl)Cl,NCc1cc(Cl)cc(Oc2c(Cl)ccc3c2nnn3Cc2[nH]nc3ncccc23)c1Cl,7.4,6,3.27;3.86;4.19;4.20;5.87;7.57,,pkasolver
AB1,Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O)C,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)[NH+]1CCCNC1=O,7.4,7,6.18;6.29;6.95;8.20;8.61;8.77;9.35,,pkasolver
ARG,C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-],7.4,2,6.15;10.98,,pkasolver
CD,[Cd+2],[Cd+2],7.4,0,,,pkasolver:no_ionizable
D4T,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O,Cc1cn([C@H]2C=C[C@@H](CO[P@](=O)([O-])O[P@](=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[n-]c1=O,7.4,3,3.57;4.36;5.77,,pkasolver
FTC,CCOc1ccnc(c1F)CCNC(=S)Nc2ccc(cn2)Cl,CCOc1ccnc(CCNC(=S)Nc2ccc(Cl)cn2)c1F,7.4,5,2.93;3.23;4.04;4.56;9.81,,pkasolver
N8G,C1[C@@H](O[C@@H](S1)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=C(C(=NC2=O)N)F,Nc1nc(=O)n([C@H]2CS[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)cc1F,7.4,6,2.71;3.05;3.63;3.90;4.09;4.82,aryl_amine:1,pkasolver+weak_acid_guard
R8E,c1cc(c(cc1OCc2c3ccc(nc3[nH]n2)N)Oc4cc(cc(c4)Cl)C#N)Cl,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4nc(N)ccc34)ccc2Cl)c1,7.4,5,4.25;4.48;5.02;8.34;9.71,,pkasolver
T27,Cc1cc(cc(c1Nc2ccnc(n2)Nc3ccc(cc3)C#N)C)/C=C/C#N,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,7.4,5,3.66;4.30;5.55;8.88;9.90,,pkasolver
TAM,C(CO)C(CCO)(CCO)N,[NH3+]C(CCO)(CCO)CCO,7.4,2,9.03;9.37,,pkasolver
TNF,c1c(cc(c(c1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,7.4,1,5.16,,pkasolver
TPV,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)c2cccc(c2)NS(=O)(=O)c3ccc(cn3)C(F)(F)F)O)CCc4ccccc4,CCC[C@@]1(CCc2ccccc2)CC([O-])=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,7.4,4,4.54;5.42;6.51;7.90,,pkasolver
WHU,c1cc(c(c(c1CNC(=O)c2c(nc([nH]2)N)Cl)F)Oc3cc(cc(c3)Cl)C#N)Br,N#Cc1cc(Cl)cc(Oc2c(Br)ccc(CNC(=O)c3[nH]c(N)nc3Cl)c2F)c1,7.4,5,4.34;4.45;7.03;7.71;9.18,aryl_amine:1,pkasolver+weak_acid_guard
X7B,[B-]1(c2ccc(cc2C(=O)O1)S(=O)(=O)N(C[C@H]([C@H](Cc3ccccc3)NC(=O)O[C@H]4CO[C@@H]5[C@H]4CCO5)O)CC(C)C)(O)O,CC(C)C[NH+](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc2c(c1)C(=O)O[B-]2(O)O,7.4,3,4.22;4.87;8.47,,pkasolver
ZZE,CCc1c(c(n(n1)CCO)CC)Oc2cc(cc(c2)C#N)C#N,CCc1nn(CCO)c(CC)c1Oc1cc(C#N)cc(C#N)c1,7.4,2,4.12;7.04,alcohol:1,pkasolver+weak_acid_guard
1RZ,C1[C@H](O[C@H](S1)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=CC(=NC2=O)N,Nc1ccn([C@@H]2CS[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1,7.4,6,2.82;3.23;3.71;3.93;4.14;5.28,aryl_amine:1,pkasolver+weak_acid_guard
1UN,Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[N@@]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)C[NH+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)[NH2+]C(C)(C)C,7.4,7,5.98;7.81;8.44;9.21;9.25;9.69;10.00,phenol:1,pkasolver+weak_acid_guard
1WT,CCN1c2c(cccn2)N(C(=O)c3c1ncc(c3)CCOC4=CC=[N](c5c4cccc5)O)C,CCN1c2c(cccn2)N(C(=O)c3c1ncc(c3)CCOC4=CC=[N](c5c4cccc5)O)C,7.4,0,,,fallback:unparseable
1ZK,CC[C@H](C)[C@@H](C(=O)NCc1ccccn1)NC(=O)[C@H](C(C)C)[C@H]([C@@H]([C@H](CC2CCCCC2)NC(=O)[C@H](Cc3c[nH]c[nH+]3)NC(=O)COc4cccc5c4cccc5)O)O,CC[C@H](C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[n-]cn1)NC(=O)COc1cccc2ccccc12)C(=O)NCc1ccccn1,7.4,11,5.96;6.00;6.03;6.09;7.11;7.45;7.52;7.78;7.99;8.63;9.66,,pkasolver
216,C=CCN1[C@@H]([C@@H]([C@H]([C@H](N(C1=O)CC=C)Cc2ccccc2)O)O)Cc3ccccc3,C=CCN1C(=O)N(CC=C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,7.4,3,6.13;6.15;9.58,,pkasolver
2KW,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)Oc3cc(cc(c3)Cl)C#N)C(F)(F)F,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,7.4,2,4.58;7.92,,pkasolver
385,Cc1nc(cs1)COc2ccc(cc2)C[C@@H]([C@@H](C[N@](CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)O)NC(=O)O[C@H]5CO[C@@H]6[C@H]5CCO6,Cc1nc(COc2ccc(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@H]43)[C@H](O)C[NH+](CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1,7.4,5,3.92;4.50;4.94;8.17;8.17,,pkasolver
3EM,CCN(CC)c1ccc2c(c1)OC(=O)C=C2COC(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc3ccccc3)C[C@@H]([C@H](Cc4ccccc4)NC(=O)OCc5cncs5)O,CCN(CC)c1ccc2c(COC(=O)N[C@H](C(=O)N[C@@H](Cc3ccccc3)C[C@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)C(C)C)cc(=O)oc2c1,7.4,7,5.72;5.92;6.27;7.91;8.26;8.63;9.19,,pkasolver
3EN,CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)C[C@@H]([C@H](Cc2ccccc2)NC(=O)OCc3cncs3)O)N,CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1,7.4,7,4.08;4.83;5.59;7.09;8.15;8.63;8.92,,pkasolver
3OB,CN(C)C1=C(C=C(NC1=O)CC(=O)N2CCc3ccccc3C2)Oc4cc(cc(c4)Cl)C#N,CN(C)c1c(Oc2cc(Cl)cc(C#N)c2)cc(CC(=O)N2CCc3ccccc3C2)[nH]c1=O,7.4,4,4.10;5.08;6.41;9.84,,pkasolver
43X,C1[C@H](O[C@H](S1)COP(=O)(O)O)N2C=C(C(=NC2=O)N)F,Nc1nc(=O)n([C@@H]2CS[C@H](COP(=O)([O-])[O-])O2)cc1F,7.4,4,2.61;3.00;3.89;5.40,aryl_amine:1,pkasolver+weak_acid_guard
5B5,CCN[C@H]1CO[C@H]2[C@@H]1[C@H](CCO2)OC(=O)N[C@@H](Cc3ccccc3)[C@@H](CN(CC(C)C)S(=O)(=O)c4ccc(cc4)OC)O,CCN[C@H]1CO[C@@H]2OCC[C@H](OC(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(OC)cc3)[C@@H]21,7.4,5,3.95;4.66;7.30;8.22;8.25,,pkasolver
5B7,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CCO[C@@H]3[C@H]2[C@H](CO3)OC)O)S(=O)(=O)c4ccc(cc4)OC,COc1ccc(S(=O)(=O)[NH+](CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CCO[C@H]3OC[C@H](OC)[C@H]32)cc1,7.4,4,3.80;4.51;8.29;8.31,,pkasolver
612,CCOCN1C(=C(C(=O)NC1=O)C(C)C)SC2CCCCC2,CCOCn1c(SC2CCCCC2)c(C(C)C)c(=O)[nH]c1=O,7.4,2,5.84;9.46,,pkasolver
6FM,C#C[C@]1([C@H](C[C@@H](O1)n2cnc3c2nc(nc3N)F)O)COP(=O)(O)O,C#C[C@]1(COP(=O)([O-])[O-])O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,7.4,6,2.75;2.81;3.44;4.02;5.41;6.12,alcohol:1;aryl_amine:1,pkasolver+weak_acid_guard
6FN,C#C[C@]1([C@H](C[C@@H](O1)n2cnc3c2nc(nc3N)F)O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O,C#C[C@]1(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,7.4,7,3.08;3.30;3.74;4.01;4.17;4.80;5.29,alcohol:1;aryl_amine:1,pkasolver+weak_acid_guard
846,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)CC5CC5)Cc6ccccc6)O)O,O=C(Nc1nccs1)c1cccc(CN2C(=O)N(CC3CC3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,7.4,6,4.29;4.75;6.26;6.33;8.89;9.45,,pkasolver
914,c1nc(c2c(n1)n(cn2)[C@H]3C(=C[C@H](O3)OC[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)F)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](OC[P@@](=O)(O)O[P@](=O)(O)OP(=O)([O-])[O-])C=C1F,7.4,6,2.94;3.03;3.07;3.22;3.61;4.42,aryl_amine:1,pkasolver+weak_acid_guard
9PJ,Cc1c(cc(cc1OC2=C(N=CN(C2=O)CC3C=C(C(=O)N=C3C)F)C(C(F)F)(F)F)C(F)F)C#N,CC1=NC(=O)C(F)=CC1Cn1cnc(C(F)(F)C(F)F)c(Oc2cc(C(F)F)cc(C#N)c2C)c1=O,7.4,1,3.42,,pkasolver
9QI,Cc1c(cc(cc1OC2=C(N=CN(C2=O)CC3=CC(=CNC3=O)F)C(C(F)F)(F)F)C(F)F)C#N,Cc1c(C#N)cc(C(F)F)cc1Oc1c(C(F)(F)C(F)F)ncn(Cc2cc(F)c[n-]c2=O)c1=O,7.4,3,3.65;4.49;7.26,,pkasolver
9TV,c1cnc(nc1)CCC(=O)Nc2cc(n[nH]2)c3ccc4c(c3)CCCC4,O=C(CCc1ncccn1)Nc1cc(-c2ccc3c(c2)CCCC3)n[nH]1,7.4,5,3.49;3.76;5.25;9.04;9.38,,pkasolver
A1A6R,C#C[C@]1([C@H](C[C@@H](O1)n2ccc3c2nc(nc3N)Cl)O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O,C#C[C@]1(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O[C@@H](n2ccc3c(N)nc(Cl)nc32)C[C@@H]1O,7.4,7,3.12;3.34;3.72;4.18;4.30;5.29;5.49,alcohol:1;aryl_amine:1,pkasolver+weak_acid_guard
AAP,Cc1ccc(c(c1)N[C@@H](c2c(cccc2Cl)Cl)C(=O)N)C(=O)C,CC(=O)c1ccc(C)cc1[NH2+][C@H](C(N)=O)c1c(Cl)cccc1Cl,7.4,3,4.65;6.25;7.61,,pkasolver
AVX,Cn1c(cc(n1)c2cc3c(c(c2)Br)OCO3)N,Cn1nc(-c2cc(Br)c3c(c2)OCO3)cc1N,7.4,3,2.63;3.37;8.71,,pkasolver
BM1,Cc1cccc(c1)[C@@]23c4ccccc4C(=O)N2CCS3,Cc1cccc([C@]23SCCN2C(=O)c2ccccc23)c1,7.4,1,3.34,,pkasolver
BM5,COC(=O)[C@@H]1CS[C@]2(N1C(=O)c3c2cccc3)c4ccccc4,COC(=O)[C@@H]1CS[C@]2(c3ccccc3)c3ccccc3C(=O)N12,7.4,1,3.37,,pkasolver
CXD,c1cc(c(c(c1CNC(=O)c2c(nc[nH]2)Cl)F)Oc3cc(cc(c3)Cl)C#N)Cl,N#Cc1cc(Cl)cc(Oc2c(Cl)ccc(CNC(=O)c3[nH]cnc3Cl)c2F)c1,7.4,4,3.34;4.16;7.55;9.10,,pkasolver
D4M,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)COP(=O)(O)O,Cc1cn([C@H]2C=C[C@@H](COP(=O)([O-])[O-])O2)c(=O)[n-]c1=O,7.4,3,3.69;4.72;6.67,,pkasolver
DCT,C1C[C@@H](O[C@@H]1CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)N2C=CC(=NC2=O)N,Nc1ccn([C@H]2CC[C@@H](CO[P@](=O)([O-])O[P@](=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1,7.4,6,2.87;3.17;3.65;3.84;4.06;5.39,aryl_amine:1,pkasolver+weak_acid_guard
DGP,c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)COP(=O)(O)O)O)N=C(NC2=O)N,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[n-]1,7.4,6,3.43;4.12;4.64;6.13;6.29;6.51,alcohol:1;aryl_amine:1,pkasolver+weak_acid_guard
DJZ,Cc1cc(cc(c1Oc2ccnc(n2)NC3CCN(CC3)Cc4ccc(cc4)S(=O)(=O)C)C)C#N,Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CC[NH+](Cc3ccc(S(C)(=O)=O)cc3)CC2)n1,7.4,3,3.91;6.38;8.18,,pkasolver
DMQ,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)N)Cc4cccc(c4)N)Cc5ccccc5)O)O,Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,7.4,7,4.52;5.04;6.82;6.88;9.55;9.81;10.05,,pkasolver
DTP,c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO[P@](=O)([O-])O[P@@](=O)([O-])OP(=O)([O-])[O-])O1,7.4,7,2.65;3.12;3.57;3.80;3.97;4.76;5.12,alcohol:1;aryl_amine:1,pkasolver+weak_acid_guard
E58,COc1cc(ccc1OC(=O)c2ccc(o2)[N+](=O)[O-])C(=O)OC,COC(=O)c1ccc(OC(=O)c2ccc([N+](=O)[O-])o2)c(OC)c1,7.4,0,,,pkasolver:no_ionizable
