het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
OB4,CCN(c1ccc(cc1)OC)S(=O)(=O)[C@@H]2C[C@H]3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,CCN(c1ccc(OC)cc1)S(=O)(=O)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,3,4.62;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OB5,CCN(c1ccc(cc1)OC)S(=O)(=O)[C@H]2C[C@@H]3C(=C([C@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,CCN(c1ccc(OC)cc1)S(=O)(=O)[C@H]1C[C@H]2O[C@@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,3,4.62;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OB6,CCN(c1ccc(cc1)Cl)S(=O)(=O)[C@@H]2C[C@H]3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,CCN(c1ccc(Cl)cc1)S(=O)(=O)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,3,4.32;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OB7,CCN(c1ccc(cc1)Cl)S(=O)(=O)[C@H]2C[C@@H]3C(=C([C@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,CCN(c1ccc(Cl)cc1)S(=O)(=O)[C@H]1C[C@H]2O[C@@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,3,4.32;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OB8,CCN(c1ccc2ccccc2c1)S(=O)(=O)[C@@H]3C[C@H]4C(=C([C@@H]3O4)c5ccc(cc5)O)c6ccc(cc6)O,CCN(c1ccc2ccccc2c1)S(=O)(=O)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,3,4.32;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OB9,c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)[C@@H]2C[C@H]3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,O=S(=O)([C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1)N(CC(F)(F)F)c1ccccc1,7.4,3,3.64;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OBB,c1cc(cc(c1)Br)OS(=O)(=O)[C@@H]2C[C@H]3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,O=S(=O)(Oc1cccc(Br)c1)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OBC,c1ccc(c(c1)OS(=O)(=O)[C@@H]2C[C@H]3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O)F,O=S(=O)(Oc1ccccc1F)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OBM,c1cc(ccc1C2=C([C@H]3[C@@H](C[C@@H]2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)O)O,O=S(=O)(Oc1ccc(Br)cc1)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
ODC,CC(C)(C(=O)N1CCC(CC1)CCNC(=O)CCl)Oc2ccc(cc2)Cl,CC(C)(Oc1ccc(Cl)cc1)C(=O)[NH+]1CCC(CCNC(=O)CCl)CC1,7.4,3,7.54;7.98;9.37,,pkasolver
ODE,CCOC(=O)[C@H]1[C@H]([C@H]2C(=C([C@@H]1O2)c3ccc(cc3)O)c4ccc(cc4)O)C(=O)OCC,CCOC(=O)[C@@H]1[C@H](C(=O)OCC)[C@H]2O[C@@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
ODY,CC1=C([C@@H](Oc2c1cccc2O)c3ccc(cc3)OCCN4CC(C4)CF)c5cccc(c5)O,CC1=C(c2cccc(O)c2)[C@H](c2ccc(OCC[NH+]3CC(CF)C3)cc2)Oc2c(O)cccc21,7.4,3,7.49;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OFB,c1cc(cc(c1)F)OS(=O)(=O)[C@@H]2C[C@H]3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,O=S(=O)(Oc1cccc(F)c1)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OGJ,CC1=C([C@@H](Oc2c1cc(cc2)O)c3ccc(cc3)OCCN4CC(C4)CF)c5cccc(c5)O,CC1=C(c2cccc(O)c2)[C@H](c2ccc(OCC[NH+]3CC(CF)C3)cc2)Oc2ccc(O)cc21,7.4,3,7.66;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OT0,C[C@@H]1CC(C[C@@H](O1)C)(C(=O)N2CCC(CC2)CNC(=O)CCl)Nc3ccc(cc3)Cl,C[C@@H]1CC(Nc2ccc(Cl)cc2)(C(=O)N2CCC(CNC(=O)CCl)CC2)C[C@H](C)O1,7.4,5,4.22;6.94;7.65;8.96;9.89,,pkasolver
PIQ,Cn1c2cc(cnc2nc1N)c3ccccc3,Cn1c(N)nc2ncc(-c3ccccc3)cc21,7.4,4,3.14;3.82;4.56;9.19,,pkasolver
PJN,c1ccc(cc1)C(=O)C2=C(C(=O)N([C@@H]2c3ccc(cc3)[N+](=O)[O-])c4ccccc4O)O,O=C(C1=C([O-])C(=O)N(c2ccccc2O)[C@@H]1c1ccc([N+](=O)[O-])cc1)c1ccccc1,7.4,3,3.34;5.81;10.00,phenol:1,pkasolver+weak_acid_guard
PTI,c1ccc(cc1)N2CCc3cc(ccc3[C@H]2c4ccc(cc4)OCCN5CCCCC5)O,Oc1ccc2c(c1)CCN(c1ccccc1)[C@@H]2c1ccc(OCC[NH+]2CCCCC2)cc1,7.4,3,6.81;8.95;10.00,phenol:1,pkasolver+weak_acid_guard
Q97,CC/C(=C(\c1ccc(cc1)O)/c2ccc(cc2)OCC)/c3ccc(cc3)O,CCOc1ccc(/C(=C(/CC)c2ccc(O)cc2)c2ccc(O)cc2)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
QHG,CC(C)CN1CCc2cc(ccc2[C@H]1c3ccc(cc3)/C=C/C(=O)O)O,CC(C)C[NH+]1CCc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)[O-])cc1,7.4,3,5.03;7.50;10.00,phenol:1,pkasolver+weak_acid_guard
QNE,C[C@@H]1Cc2c(ccc3c2c[nH]n3)[C@H](N1CC4(CC4)F)c5ccc(cc5OC)NC6CN(C6)CCCF,COc1cc(NC2CN(CCCF)C2)ccc1[C@@H]1c2ccc3n[nH]cc3c2C[C@@H](C)[NH+]1CC1(F)CC1,7.4,6,4.94;5.19;6.21;7.08;7.64;9.73,,pkasolver
QNH,CCCN1CC(C1)Nc2ccc(nc2)[C@@H]3c4ccc5c(c4C[C@H](N3CC(F)(F)F)C)cn[nH]5,CCC[NH+]1CC(Nc2ccc([C@@H]3c4ccc5[nH]ncc5c4C[C@@H](C)N3CC(F)(F)F)nc2)C1,7.4,6,4.24;4.47;4.66;5.74;7.76;9.96,,pkasolver
QNK,C[C@@H]1Cc2c(ccc3c2c[nH]n3)[C@H](N1CC4(CC4)F)c5ccc(cn5)NC6CN(C6)CCCF,C[C@@H]1Cc2c(ccc3n[nH]cc23)[C@@H](c2ccc(NC3C[NH+](CCCF)C3)cn2)N1CC1(F)CC1,7.4,6,4.29;4.88;5.65;6.69;7.54;9.65,,pkasolver
QSO,COc1ccc(cc1)C2=COc3cc(cc(c3C2=O)O)O,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
QYM,C[C@]12C[C@@H]([C@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O)c5ccc(cc5)OCCN(C)C,C[NH+](C)CCOc1ccc([C@H]2C[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]3CCc4cc(O)ccc4[C@@H]32)cc1,7.4,2,9.18;9.50,,pkasolver
RY0,[H]/N=C(\c1cc(cs1)c2cccc(c2)NC(=O)C3(CCC3)Oc4ccc(cc4)Cl)/N,[H]/[NH+]=C(/N)c1cc(-c2cccc(NC(=O)C3(Oc4ccc(Cl)cc4)CCC3)c2)cs1,7.4,3,4.55;7.80;9.43,,pkasolver
RYR,[H]/N=C(\c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Oc3ccc(cc3)C(F)(F)F)/N,[H]/[NH+]=C(/N)c1cc(-c2cccc(NC(=O)C(C)(C)Oc3ccc(C(F)(F)F)cc3)c2)cs1,7.4,3,4.30;8.12;9.62,,pkasolver
RZC,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Oc3ccc(c(c3)Cl)Cl)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C(C)(C)Oc3ccc(Cl)c(Cl)c3)c2)cs1,7.4,3,4.47;8.05;9.58,,pkasolver
RZL,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Oc3ccc(cc3)Br)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C(C)(C)Oc3ccc(Br)cc3)c2)cs1,7.4,3,4.49;8.13;9.70,,pkasolver
RZT,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C3(CCC(CC3)N)Oc4ccc(cc4)Cl)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C3(Oc4ccc(Cl)cc4)CCC([NH3+])CC3)c2)cs1,7.4,4,4.90;8.07;8.59;9.37,,pkasolver
S0O,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Oc3ccccc3)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C(C)(C)Oc3ccccc3)c2)cs1,7.4,3,4.59;8.17;9.77,,pkasolver
S0U,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Nc3ccccc3)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C(C)(C)Nc3ccccc3)c2)cs1,7.4,5,3.74;4.83;7.94;9.64;10.53,,pkasolver
S1I,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C3(CCC(CC3)(F)F)Oc4ccccc4)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C3(Oc4ccccc4)CCC(F)(F)CC3)c2)cs1,7.4,3,4.72;8.01;9.49,,pkasolver
S1R,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C3(CCOCC3)Oc4ccccc4)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C3(Oc4ccccc4)CCOCC3)c2)cs1,7.4,3,4.70;7.84;9.40,,pkasolver
S2E,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C3(CCOCC3)Oc4ccc(cc4)Cl)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C3(Oc4ccc(Cl)cc4)CCOCC3)c2)cs1,7.4,3,4.62;7.81;9.36,,pkasolver
S2U,[H]/N=C(\c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Oc3ccc(cc3)OC)/N,[H]/[NH+]=C(/N)c1cc(-c2cccc(NC(=O)C(C)(C)Oc3ccc(OC)cc3)c2)cs1,7.4,3,4.77;8.31;9.84,,pkasolver
S3I,[H]/N=C(\c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Oc3ccc(cc3)C(=O)C)/N,[H]/[NH+]=C(/N)c1cc(-c2cccc(NC(=O)C(C)(C)Oc3ccc(C(C)=O)cc3)c2)cs1,7.4,3,4.25;7.76;9.26,,pkasolver
S3U,[H]/N=C(\c1cc(cs1)c2cccc(c2)NC(=O)C3(CCCCC3)Oc4ccccc4)/N,[H]/[NH+]=C(/N)c1cc(-c2cccc(NC(=O)C3(Oc4ccccc4)CCCCC3)c2)cs1,7.4,3,4.71;7.90;9.46,,pkasolver
S6O,[H]/N=C(/c1cc2c(cccc2s1)N(C)CCN(C)C(=O)C(C)(C)Oc3ccc(cc3)Cl)\N,[H]/[NH+]=C(\N)c1cc2c(N(C)CCN(C)C(=O)C(C)(C)Oc3ccc(Cl)cc3)cccc2s1,7.4,3,4.55;7.32;8.40,,pkasolver
S6X,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Oc3ccc(cc3)Cl)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C(C)(C)Oc3ccc(Cl)cc3)c2)cs1,7.4,3,4.51;8.14;9.71,,pkasolver
S7I,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C3(CCCC3)Oc4ccc(cc4)Cl)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C3(Oc4ccc(Cl)cc4)CCCC3)c2)cs1,7.4,3,4.59;7.83;9.42,,pkasolver
S7R,[H]/N=C(\c1cc(cs1)c2cccc(c2)NC(=O)C3(CCNCC3)Nc4ccc(cc4)Cl)/N,[H]/[NH+]=C(/N)c1cc(-c2cccc(NC(=O)C3(Nc4ccc(Cl)cc4)CC[NH2+]CC3)c2)cs1,7.4,6,4.22;4.66;7.70;8.81;9.42;10.12,,pkasolver
S86,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C3(CCC(CC3)(F)F)Oc4ccc(cc4)Cl)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C3(Oc4ccc(Cl)cc4)CCC(F)(F)CC3)c2)cs1,7.4,3,4.64;7.97;9.45,,pkasolver
S8O,[H]/N=C(\c1cc(cs1)c2cccc(c2)NC(=O)C3(CCCCC3)Oc4ccc(cc4)Cl)/N,[H]/[NH+]=C(/N)c1cc(-c2cccc(NC(=O)C3(Oc4ccc(Cl)cc4)CCCCC3)c2)cs1,7.4,3,4.62;7.87;9.42,,pkasolver
SD7,[H]/N=C(\c1cc2c(ccc(c2s1)OC)C[C@H](C)CN)/N,[H]/[NH+]=C(/N)c1cc2c(C[C@H](C)C[NH3+])ccc(OC)c2s1,7.4,2,8.15;9.32,,pkasolver
SE3,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Nc3ccc(cc3)Cl)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C(C)(C)Nc3ccc(Cl)cc3)c2)cs1,7.4,5,3.64;4.65;7.88;9.56;10.32,,pkasolver
SER,C([C@@H](C(=O)O)N)O,[NH3+][C@@H](CO)C(=O)[O-],7.4,2,3.56;9.02,,pkasolver
SFG,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H]([NH3+])CC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,7.4,5,3.51;3.81;5.11;8.94;9.28,,pkasolver
SG0,[H]/N=C(\c1cc2c(ccc(c2s1)OC(C)C)[C@H](N)O)/N,[H]/[NH+]=C(/N)c1cc2c([C@H](N)O)ccc(OC(C)C)c2s1,7.4,2,8.04;9.56,,pkasolver
SIY,C[C@@H]1[C@@H]\2CC[C@@H](/C2=C/[C@]3([C@H](CC(=C3[C@H]([C@@H]1O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(C)(C)C=C)O)O)O)C(C)C)O)C)COC,C=CC(C)(C)OC[C@H]1O[C@H](O[C@@H]2C3=C(C(C)C)C[C@H](O)[C@]3(C)/C=C3/[C@@H](COC)CC[C@H]3[C@@H](C)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,7.4,4,8.70;8.70;8.85;8.89,,pkasolver
SJ4,C[C@@H]1[C@@H]2CC[C@@H]([C@H]2C[C@]3([C@H](CC(=C3[C@H]([C@@H]1O)O[C@@H]4[C@@H]([C@H]([C@H]5[C@H](O4)COC(O5)(C)C)O)O)C(C)C)O)C)COC,COC[C@H]1CC[C@H]2[C@@H](C)[C@@H](O)[C@H](O[C@H]3O[C@@H]4COC(C)(C)O[C@H]4[C@H](O)[C@H]3O)C3=C(C(C)C)C[C@H](O)[C@]3(C)C[C@H]12,7.4,3,9.01;9.01;9.05,,pkasolver
SJC,C[C@H](CN1CCCCC1)C2=C3[C@H]([C@@H](C[C@@]\4(CC[C@@H](/C4=C/[C@]3([C@H](C2)O)C)COC)C)O)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(C)(C)C=C)O)O)O,C=CC(C)(C)OC[C@H]1O[C@H](O[C@@H]2C3=C([C@H](C)C[NH+]4CCCCC4)C[C@H](O)[C@]3(C)/C=C3/[C@@H](COC)CC[C@@]3(C)C[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,7.4,4,8.66;8.78;8.88;8.93,,pkasolver
SKR,C[C@@H]1[C@@H]\2CC[C@@H](/C2=C/[C@]3([C@H](CC(=C3[C@H]([C@@H]1O)O)[C@H](C)CNC(=O)C)O)C)COC,COC[C@H]1CC[C@@H]2/C1=C\[C@]1(C)C(=C([C@H](C)CNC(C)=O)C[C@@H]1O)[C@@H](O)[C@H](O)[C@@H]2C,7.4,5,6.84;8.62;8.74;9.01;9.25,,pkasolver
SOI,[H]/N=C(/c1cc(cs1)c2cccc(c2)NC(=O)C3(CCNCC3)Oc4ccc(cc4)Cl)\N,[H]/[NH+]=C(\N)c1cc(-c2cccc(NC(=O)C3(Oc4ccc(Cl)cc4)CC[NH2+]CC3)c2)cs1,7.4,4,4.52;7.57;8.69;9.41,,pkasolver
SSX,[H]/N=C(/c1cc2c(ccc(c2s1)OC)C[C@@H](C)CN)\N,[H]/[NH+]=C(\N)c1cc2c(C[C@@H](C)C[NH3+])ccc(OC)c2s1,7.4,2,8.15;9.32,,pkasolver
STL,c1cc(ccc1\C=C\c2cc(cc(c2)O)O)O,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,7.4,3,10.00;10.00;10.00,phenol:3,pkasolver+weak_acid_guard
T3O,CC1=CC[C@H]2C[C@@H]1[C@@H](OC2(C)C)c3ccc(cc3)O,CC1=CC[C@H]2C[C@@H]1[C@H](c1ccc(O)cc1)OC2(C)C,7.4,1,10.00,phenol:1,pkasolver+weak_acid_guard
T4Q,c1ccc(c(c1)C#N)Sc2ccccc2C(=O)NCCCS,N#Cc1ccccc1Sc1ccccc1C(=O)NCCCS,7.4,3,3.72;6.92;9.11,,pkasolver
T4W,c1ccc(c(c1)C#N)Sc2ccccc2C(=O)NCCS,N#Cc1ccccc1Sc1ccccc1C(=O)NCCS,7.4,3,3.58;5.95;8.82,,pkasolver
T4Z,c1cc(ccc1SCC(=O)NCCCS)Cl,O=C(CSc1ccc(Cl)cc1)[NH2+]CCCS,7.4,3,7.18;8.32;9.47,,pkasolver
T5N,CC(C)(C(=O)NCCS)Oc1ccc(cc1)Br,CC(C)(Oc1ccc(Br)cc1)C(=O)NCCS,7.4,3,4.10;6.16;9.32,,pkasolver
T5Q,CC(C)(C(=O)NCCS)Oc1cc(cc(c1)F)F,CC(C)(Oc1cc(F)cc(F)c1)C(=O)NCCS,7.4,3,4.21;6.04;8.99,,pkasolver
T5T,CC(C)(C(=O)NCCS)Oc1ccc(cc1)F,CC(C)(Oc1ccc(F)cc1)C(=O)NCCS,7.4,3,4.19;6.22;9.33,,pkasolver
T5W,CC(C)(C(=O)NCCS)Oc1cc(cc(c1)Cl)Cl,CC(C)(Oc1cc(Cl)cc(Cl)c1)C(=O)NCCS,7.4,3,4.08;6.07;9.07,,pkasolver
T5Z,CC(C)(C(=O)NCCS)Oc1ccc(c(c1)OC)Br,COc1cc(OC(C)(C)C(=O)NCCS)ccc1Br,7.4,3,4.30;6.40;9.30,,pkasolver
T6H,CC(C)(C(=O)NCCS)Oc1ccccc1,CC(C)(Oc1ccccc1)C(=O)NCCS,7.4,3,4.19;6.22;9.41,,pkasolver
T6N,Cc1ccc(cc1)OC(C)(C)C(=O)NCCS,Cc1ccc(OC(C)(C)C(=O)NCCS)cc1,7.4,3,4.28;6.38;9.52,,pkasolver
T6W,CC(C)(C(=O)NCCS)Oc1ccc(cc1Cl)[N+](=O)[O-],CC(C)(Oc1ccc([N+](=O)[O-])cc1Cl)C(=O)NCCS,7.4,3,3.84;5.65;8.19,,pkasolver
TG9,[H]/N=C(/c1cc(c(s1)NC2CCCCC2)c3ccccc3)\N,[H]/[NH+]=C(\N)c1cc(-c2ccccc2)c(NC2CCCCC2)s1,7.4,2,6.15;7.75,,pkasolver
TQF,CCN1CC(C1)Oc2ccc(cc2)[C@@H]3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,CC[NH+]1CC(Oc2ccc([C@@H]3c4ccc(O)cc4CC4(CC4)N3C(=O)c3ccccc3)cc2)C1,7.4,3,5.21;8.61;10.00,phenol:1,pkasolver+weak_acid_guard
TS7,CCCN1CC(C1)Oc2ccc(cc2)[C@@H]3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,CCC[NH+]1CC(Oc2ccc([C@@H]3c4ccc(O)cc4CC4(CC4)N3C(=O)c3ccccc3)cc2)C1,7.4,3,5.27;8.55;10.00,phenol:1,pkasolver+weak_acid_guard
TT5,c1ccc(cc1)C(=O)N2[C@@H](c3ccc(cc3CC24CC4)O)c5ccc(cc5)OCCN6CCCCC6,O=C(c1ccccc1)N1[C@H](c2ccc(OCC[NH+]3CCCCC3)cc2)c2ccc(O)cc2CC12CC2,7.4,3,5.34;8.78;10.00,phenol:1,pkasolver+weak_acid_guard
TTU,CCN1CC[C@@H](C1)Oc2ccc(cc2)[C@@H]3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,CC[NH+]1CC[C@H](Oc2ccc([C@@H]3c4ccc(O)cc4CC4(CC4)N3C(=O)c3ccccc3)cc2)C1,7.4,3,5.52;9.22;10.00,phenol:1,pkasolver+weak_acid_guard
TU9,CCN1CC[C@H](C1)COc2ccc(cc2)[C@@H]3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,CC[NH+]1CC[C@@H](COc2ccc([C@@H]3c4ccc(O)cc4CC4(CC4)N3C(=O)c3ccccc3)cc2)C1,7.4,3,5.63;9.36;10.00,phenol:1,pkasolver+weak_acid_guard
TVF,C[C@@H]1CCN(C1)CCOc2ccc(cc2)[C@@H]3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,C[C@@H]1CC[NH+](CCOc2ccc([C@@H]3c4ccc(O)cc4CC4(CC4)N3C(=O)c3ccccc3)cc2)C1,7.4,3,5.51;8.85;10.00,phenol:1,pkasolver+weak_acid_guard
TVL,C[C@@H]1CCCN1CCOc2ccc(cc2)[C@@H]3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,C[C@@H]1CCC[NH+]1CCOc1ccc([C@@H]2c3ccc(O)cc3CC3(CC3)N2C(=O)c2ccccc2)cc1,7.4,3,5.42;8.89;10.00,phenol:1,pkasolver+weak_acid_guard
TVX,CN(C)CCOc1ccc(cc1)[C@@H]2c3ccc(cc3CC4(N2C(=O)c5ccccc5)CC4)O,C[NH+](C)CCOc1ccc([C@@H]2c3ccc(O)cc3CC3(CC3)N2C(=O)c2ccccc2)cc1,7.4,3,5.13;8.90;10.00,phenol:1,pkasolver+weak_acid_guard
TW6,CNCCOc1ccc(cc1)[C@@H]2c3ccc(cc3CC4(N2C(=O)c5ccccc5)CC4)O,C[NH2+]CCOc1ccc([C@@H]2c3ccc(O)cc3CC3(CC3)N2C(=O)c2ccccc2)cc1,7.4,3,5.01;9.11;10.00,phenol:1,pkasolver+weak_acid_guard
TWF,CCNCCOc1ccc(cc1)[C@@H]2c3ccc(cc3CC4(N2C(=O)c5ccccc5)CC4)O,CC[NH2+]CCOc1ccc([C@@H]2c3ccc(O)cc3CC3(CC3)N2C(=O)c2ccccc2)cc1,7.4,3,5.13;9.17;10.00,phenol:1,pkasolver+weak_acid_guard
TX9,CCCCCN1CC[C@@H](C1)COc2ccc(cc2)[C@@H]3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,CCCCC[NH+]1CC[C@H](COc2ccc([C@@H]3c4ccc(O)cc4CC4(CC4)N3C(=O)c3ccccc3)cc2)C1,7.4,3,5.78;9.23;10.00,phenol:1,pkasolver+weak_acid_guard
TXK,CCCN1CC[C@H](C1)CCc2ccc(cc2)[C@@H]3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,CCC[NH+]1CC[C@@H](CCc2ccc([C@@H]3c4ccc(O)cc4CC4(CC4)N3C(=O)c3ccccc3)cc2)C1,7.4,3,5.85;9.52;10.00,phenol:1,pkasolver+weak_acid_guard
TYR,c1cc(ccc1C[C@@H](C(=O)O)N)O,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-],7.4,2,4.85;8.96,,pkasolver
TZ3,CCCN1CC[C@@H](C1)CSc2ccc(cc2)[C@@H]3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,CCC[NH+]1CC[C@H](CSc2ccc([C@@H]3c4ccc(O)cc4CC4(CC4)N3C(=O)c3ccccc3)cc2)C1,7.4,3,5.48;9.30;10.00,phenol:1,pkasolver+weak_acid_guard
U0L,[H]/N=C(\c1cc(cs1)c2cccc(c2)NC(=O)C(C)(C)Oc3ccc(c(c3)F)Cl)/N,[H]/[NH+]=C(/N)c1cc(-c2cccc(NC(=O)C(C)(C)Oc3ccc(Cl)c(F)c3)c2)cs1,7.4,3,4.50;8.05;9.59,,pkasolver
U6D,C[C@@H]1Cc2c3ccccc3[nH]c2[C@H](N1CC(C)(C)F)c4c(cc(cc4F)OCCN5CC(C5)CF)F,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(OCCN3CC(CF)C3)cc2F)N1CC(C)(C)F,7.4,4,4.92;6.43;7.13;9.86,,pkasolver
UGH,C(CN)CNCCS,[NH3+]CCC[NH2+]CC[SH2+],7.4,2,7.96;10.71,,pkasolver
V9J,c1cc(ccc1c2c3ccc(cc3sc2Oc4ccc(cc4)O)O)F,Oc1ccc(Oc2sc3cc(O)ccc3c2-c2ccc(F)cc2)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
VQI,Cc1cc2c(cc1O)CCN([C@@H]2c3ccc(cc3)/C=C/C(=O)O)CC(C)C,Cc1cc2c(cc1O)CC[NH+](CC(C)C)[C@@H]2c1ccc(/C=C/C(=O)[O-])cc1,7.4,3,5.25;7.61;10.00,phenol:1,pkasolver+weak_acid_guard
WST,c1cc(c2c(c1)O[C@H]([C@@H]3[C@H]2CCC3)c4ccc(cc4)O)O,Oc1ccc([C@@H]2Oc3cccc(O)c3[C@@H]3CCC[C@@H]32)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
WVE,c1cc(c(cc1O)Cl)[C@H]2[C@H]3CCC[C@H]3c4cc(ccc4N2)S(=O)(=O)N,NS(=O)(=O)c1ccc2c(c1)[C@@H]1CCC[C@@H]1[C@H](c1ccc(O)cc1Cl)N2,7.4,4,6.61;7.22;8.66;10.00,phenol:1,pkasolver+weak_acid_guard
