het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
I0V,CCNCCc1ccc(cc1)CN(CC)c2cc(ccc2[C@@H]3CCc4cc(ccc4C3)O)OC,CC[NH2+]CCc1ccc(C[NH+](CC)c2cc(OC)ccc2[C@@H]2CCc3cc(O)ccc3C2)cc1,7.4,2,7.79;10.07,,pkasolver
IAT,c1cc(ccc1C2=C([C@H]3[C@@H](C[C@@H]2O3)S(=O)(=O)Oc4ccc(cc4)n5cncn5)c6ccc(cc6)O)O,O=S(=O)(Oc1ccc(-n2cncn2)cc1)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,4,4.79;4.86;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
IC7,c1cc(ccc1C2=C([C@@H]3C[C@H]([C@H]2O3)S(=O)(=O)Oc4ccc(cc4)C(F)(F)F)c5ccc(cc5)O)n6cncn6,O=S(=O)(Oc1ccc(C(F)(F)F)cc1)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(-n3cncn3)cc1)=C2c1ccc(O)cc1,7.4,3,4.05;4.26;10.00,phenol:1,pkasolver+weak_acid_guard
IOG,C[C@H](CCc1ccc(cc1)O)NC(=O)Cc2c3ccc(cc3[nH]c2c4ccccc4)OCCN5CCCCC5,C[C@H](CCc1ccc(O)cc1)[NH2+]C(=O)Cc1c(-c2ccccc2)[nH]c2cc(OCC[NH+]3CCCCC3)ccc12,7.4,6,6.48;7.75;8.57;9.74;10.00;10.36,phenol:1,pkasolver+weak_acid_guard
IOK,C[C@H](CCc1ccc(cc1)O)NC(=O)Cc2c3ccccc3[nH]c2c4ccccc4,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2ccccc12,7.4,5,6.05;7.19;9.72;10.00;10.51,phenol:1,pkasolver+weak_acid_guard
IX0,CC(=CC(=O)Nc1ccc(cc1)C2=C([C@@H]3C[C@H]([C@H]2O3)S(=O)(=O)N(CC(F)(F)F)c4ccc(cc4)O)c5ccc(cc5)O)C,CC(C)=CC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)[C@@H]3C[C@@H](S(=O)(=O)N(CC(F)(F)F)c4ccc(O)cc4)[C@H]2O3)cc1,7.4,5,3.68;5.53;9.28;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
J0W,CC(C)CN1CCc2cc(ccc2[C@@]1(C)c3ccc(cc3)/C=C/C(=O)O)O,CC(C)C[NH+]1CCc2cc(O)ccc2[C@@]1(C)c1ccc(/C=C/C(=O)[O-])cc1,7.4,3,4.87;7.61;10.00,phenol:1,pkasolver+weak_acid_guard
J2Z,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1C[C@H](C2=O)O)O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)C2=O,7.4,2,9.23;10.00,phenol:1,pkasolver+weak_acid_guard
J3Z,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CCC2=O)O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,7.4,1,10.00,phenol:1,pkasolver+weak_acid_guard
JJ3,COCc1cc(cc2c1O[C@H]([C@@H]3[C@H]2CCC3)c4ccc(cc4)O)O,COCc1cc(O)cc2c1O[C@@H](c1ccc(O)cc1)[C@H]1CCC[C@@H]21,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
KE9,C[C@@H]1Cc2c3ccccc3[nH]c2[C@H](N1CC(C)(C)F)c4c(cc(cc4F)/C=C/C(=O)O)F,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(/C=C/C(=O)[O-])cc2F)N1CC(C)(C)F,7.4,4,4.01;4.46;5.55;8.76,,pkasolver
KM8,[H]/N=C(\c1cc(cs1)c2cccc(c2)NC(=O)CC)/N,[H]/[NH+]=C(/N)c1cc(-c2cccc(NC(=O)CC)c2)cs1,7.4,3,5.11;8.01;10.01,,pkasolver
KN0,c1ccc(cc1)Cn2c3c(cccc3C(F)(F)F)c(n2)c4ccc(cc4O)O,Oc1ccc(-c2nn(Cc3ccccc3)c3c(C(F)(F)F)cccc23)c(O)c1,7.4,3,3.70;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
KN2,c1cc2c(cc1O)[nH]nc2c3ccc(cc3O)O,Oc1ccc(-c2n[nH]c3cc(O)ccc23)c(O)c1,7.4,6,5.26;6.25;10.00;10.00;10.00;10.51,phenol:3,pkasolver+weak_acid_guard
L1T,[H]/N=C(\c1cc(c(s1)c2ccccc2)C)/N,[H]/N=C(/N)c1cc(C)c(-c2ccccc2)s1,7.4,1,7.32,,pkasolver
L4G,CS(=O)(=O)c1ccc(cc1)c2ccc3cc(ccc3c2Oc4ccc(cc4)OCCN5CCCCC5)O,CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCC[NH+]3CCCCC3)cc2)cc1,7.4,2,8.45;10.00,phenol:1,pkasolver+weak_acid_guard
L5B,c1cc(ccc1C2=C(CCCc3c2ccc(c3)C(=O)O)c4ccc(cc4Cl)Cl)O[C@H]5CCN(C5)CCCF,O=C([O-])c1ccc2c(c1)CCCC(c1ccc(Cl)cc1Cl)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,7.4,2,5.04;5.63,,pkasolver
