family,ligand_id,x,y,z,dx,dy,dz
Aromatic,OSSK_595543,-2.466,1.183,-0.475,-0.875,-0.022,0.484
Aromatic,OSSK_595543,4.088,0.464,1.329,0.316,-0.058,0.947
Aromatic,OSSK_595543,5.333,8.642,3.665,0.531,0.628,-0.568
LumpedHydrophobe,OSSK_595543,-2.466,1.183,-0.475,,,
LumpedHydrophobe,OSSK_595543,4.088,0.464,1.329,,,
LumpedHydrophobe,OSSK_595543,5.333,8.642,3.665,,,
LumpedHydrophobe,OSSK_595543,-3.899,0.663,-3.023,,,
Donor,STK837320,-0.053,0.193,-0.387,0.19,0.24,-0.952
Acceptor,STK837320,-4.627,5.984,-5.611,-0.631,0.171,-0.757
Acceptor,STK837320,-4.667,1.743,-3.878,-0.39,-0.257,-0.884
Acceptor,STK837320,0.822,-1.011,1.392,-0.114,-0.459,0.881
PosIonizable,STK837320,-3.409,4.389,-3.529,,,
Aromatic,STK837320,-7.076,0.152,-1.376,-0.414,0.703,-0.579
Aromatic,STK837320,-2.666,0.833,0.48,0.291,0.952,0.097
LumpedHydrophobe,STK837320,-7.076,0.152,-1.376,,,
LumpedHydrophobe,STK837320,-2.666,0.833,0.48,,,
Donor,Z3688957256,5.534,-2.231,1.97,,,
Donor,Z3688957256,0.098,0.859,1.646,-0.452,-0.845,-0.287
Donor,Z3688957256,-1.696,1.948,0.786,-0.086,-0.832,-0.548
Acceptor,Z3688957256,3.523,-3.242,1.588,-0.544,-0.636,-0.547
Acceptor,Z3688957256,1.685,-0.639,2.437,-0.466,-0.826,-0.318
Acceptor,Z3688957256,-0.167,3.108,2.079,0.313,0.847,0.429
Acceptor,Z3688957256,-4.708,3.489,-0.711,-0.693,-0.234,-0.682
Acceptor,Z3688957256,-3.587,1.432,-1.074,0.886,-0.425,-0.185
PosIonizable,Z3688957256,8.443,-2.191,1.683,,,
Aromatic,Z3688957256,2.232,0.338,2.841,-0.496,-0.096,0.863
Aromatic,Z3688957256,-3.728,3.82,0.244,0.562,0.407,-0.72
Aromatic,Z3688957256,-5.907,0.145,-1.857,-0.457,0.871,-0.179
LumpedHydrophobe,Z3688957256,-5.907,0.145,-1.857,,,
LumpedHydrophobe,Z3688957256,-3.852,0.777,-3.929,,,
Donor,3966-0064,0.455,1.112,1.065,0.636,0.756,-0.151
Acceptor,3966-0064,-4.724,-2.353,1.817,-0.428,-0.897,-0.108
Acceptor,3966-0064,0.366,-1.083,1.833,-0.513,-0.817,0.264
PosIonizable,3966-0064,-4.03,-1.108,6.477,,,
PosIonizable,3966-0064,-4.248,0.221,3.966,,,
Aromatic,3966-0064,-6.087,-0.476,-1.172,-0.659,-0.449,0.603
Aromatic,3966-0064,-2.263,1.795,0.709,-0.061,0.209,0.976
LumpedHydrophobe,3966-0064,-6.087,-0.476,-1.172,,,
LumpedHydrophobe,3966-0064,-2.263,1.795,0.709,,,
Donor,Z234893357,1.322,1.13,0.879,-0.119,0.974,-0.195
Acceptor,Z234893357,-4.703,2.725,-0.42,0.073,0.635,-0.769
Acceptor,Z234893357,0.202,-0.797,1.527,-0.009,-0.923,0.384
Acceptor,Z234893357,6.463,-2.395,1.374,0.948,-0.025,-0.317
Acceptor,Z234893357,4.116,-3.294,1.317,-0.673,-0.647,-0.357
Acceptor,Z234893357,3.976,-4.834,4.81,-0.212,-0.553,0.806
Aromatic,Z234893357,-2.324,1.537,0.345,-0.165,-0.74,-0.652
Aromatic,Z234893357,4.035,0.583,1.325,0.142,-0.13,-0.981
LumpedHydrophobe,Z234893357,-2.324,1.537,0.345,,,
LumpedHydrophobe,Z234893357,4.035,0.583,1.325,,,
Donor,OSSL_457771,0.455,1.112,1.065,0.636,0.756,-0.151
Acceptor,OSSL_457771,-4.724,-2.353,1.817,-0.428,-0.897,-0.108
