family,label,x,y,z,radius,n_points,n_ligands,support,dx,dy,dz
Aromatic,Aromatic 1,4.9632,-0.372,-0.7657,3.0,44,44,0.88,,,
LumpedHydrophobe,LumpedHydrophobe 1,4.4405,-0.3764,-0.7187,3.0,43,43,0.86,,,
Acceptor,Acceptor 1,1.8754,-0.6533,-2.8012,3.0,37,37,0.74,,,
PosIonizable,PosIonizable 1,-3.762,0.6556,0.7209,3.0,34,34,0.68,,,
Acceptor,Acceptor 2,7.8865,-1.5525,-0.8956,3.0,33,33,0.66,,,
Aromatic,Aromatic 2,-6.9802,-0.356,0.2343,3.0,27,27,0.54,,,
