family,label,x,y,z,radius,n_points,n_ligands,support,dx,dy,dz
Acceptor,Acceptor 1,-1.2937,0.2617,0.0181,3.0,33,19,0.8261,,,
Aromatic,Aromatic 1,-0.5553,0.1249,0.2791,3.0,22,22,0.9565,,,
