family,label,x,y,z,radius,n_points,n_ligands,support,dx,dy,dz
Acceptor,Acceptor 1,-1.6903,-3.9077,-1.5993,3.0,31,31,0.6327,,,
Aromatic,Aromatic 1,-1.525,-2.6491,-0.7687,3.0,30,27,0.551,,,
Donor,Donor 1,2.4339,3.5337,0.5231,3.0,26,26,0.5306,,,
