family,ligand_id,x,y,z,dx,dy,dz
Acceptor,Z2523388541,-3.309,-3.397,-0.013,-0.855,-0.518,-0.033
Acceptor,Z2523388541,6.287,1.155,-0.374,0.905,-0.11,0.412
Aromatic,Z2523388541,-0.972,-1.939,0.039,0.397,-0.612,-0.684
Aromatic,Z2523388541,2.69,0.3,0.153,0.336,-0.619,0.71
LumpedHydrophobe,Z2523388541,-0.972,-1.939,0.039,,,
LumpedHydrophobe,Z2523388541,2.69,0.3,0.153,,,
Donor,Z5020307856,-3.232,-3.545,-0.096,-0.298,-0.311,0.903
Acceptor,Z5020307856,6.241,1.445,0.078,0.946,-0.202,-0.255
Acceptor,Z5020307856,-3.232,-3.545,-0.096,-0.858,-0.506,-0.094
Aromatic,Z5020307856,2.812,0.051,0.246,0.177,-0.325,0.929
Aromatic,Z5020307856,-0.869,-2.145,0.114,0.514,-0.85,-0.114
LumpedHydrophobe,Z5020307856,2.812,0.051,0.246,,,
LumpedHydrophobe,Z5020307856,-0.869,-2.145,0.114,,,
Donor,OSSM_283194,5.664,0.665,-0.056,0.482,0.401,0.779
Acceptor,OSSM_283194,5.664,0.665,-0.056,0.983,-0.002,-0.184
Aromatic,OSSM_283194,2.937,0.628,0.366,-0.077,0.906,-0.416
LumpedHydrophobe,OSSM_283194,2.937,0.628,0.366,,,
LumpedHydrophobe,OSSM_283194,-1.195,-1.084,0.549,,,
LumpedHydrophobe,OSSM_283194,-1.089,-0.085,0.583,,,
Donor,STL328950,5.563,0.762,-0.079,0.566,0.142,0.812
Acceptor,STL328950,0.4,-0.329,1.485,-0.118,-0.192,0.974
Acceptor,STL328950,5.563,0.762,-0.079,0.936,0.196,-0.292
Aromatic,STL328950,-3.391,-0.443,2.618,-0.699,-0.007,-0.715
Aromatic,STL328950,2.978,0.218,0.678,-0.212,0.977,-0.027
LumpedHydrophobe,STL328950,-3.391,-0.443,2.618,,,
LumpedHydrophobe,STL328950,2.978,0.218,0.678,,,
Donor,Z2998091999,5.472,0.514,-0.029,0.686,0.512,0.517
Donor,Z2998091999,-3.382,-3.966,-0.579,0.494,0.555,0.67
Acceptor,Z2998091999,5.472,0.514,-0.029,0.902,-0.196,-0.385
Acceptor,Z2998091999,-3.382,-3.966,-0.579,-0.346,-0.236,0.908
Aromatic,Z2998091999,2.971,1.023,0.993,-0.096,0.776,-0.623
Aromatic,Z2998091999,-0.46,-0.869,-0.814,-0.411,-0.11,0.905
LumpedHydrophobe,Z2998091999,2.971,1.023,0.993,,,
LumpedHydrophobe,Z2998091999,-0.46,-0.869,-0.814,,,
Donor,Z5020307317,-3.071,-3.352,-0.076,-0.09,-0.566,0.82
Acceptor,Z5020307317,5.499,1.365,0.133,0.926,-0.361,-0.109
Acceptor,Z5020307317,-3.071,-3.352,-0.076,-0.874,-0.484,-0.033
Aromatic,Z5020307317,3.102,0.039,0.057,-0.17,0.361,-0.917
Aromatic,Z5020307317,-0.673,-2.0,-0.024,0.442,-0.764,-0.47
LumpedHydrophobe,Z5020307317,3.102,0.039,0.057,,,
LumpedHydrophobe,Z5020307317,-0.673,-2.0,-0.024,,,
Donor,Z5020308071,5.666,0.66,-0.067,0.461,0.404,0.79
Acceptor,Z5020308071,5.666,0.66,-0.067,0.985,0.003,-0.174
Aromatic,Z5020308071,2.948,0.632,0.373,0.083,-0.891,0.447
Aromatic,Z5020308071,-1.309,0.625,0.932,0.097,0.682,0.725
LumpedHydrophobe,Z5020308071,2.948,0.632,0.373,,,
LumpedHydrophobe,Z5020308071,-1.309,0.625,0.932,,,
LumpedHydrophobe,Z5020308071,-3.138,-0.081,1.928,,,
Donor,Z5020308101,5.665,0.66,-0.066,0.461,0.404,0.79
Acceptor,Z5020308101,5.665,0.66,-0.066,0.985,0.003,-0.174
Aromatic,Z5020308101,-1.298,0.635,0.962,0.126,0.616,0.778
Aromatic,Z5020308101,2.948,0.632,0.372,-0.077,0.906,-0.416
LumpedHydrophobe,Z5020308101,-1.298,0.635,0.962,,,
LumpedHydrophobe,Z5020308101,2.948,0.632,0.372,,,
LumpedHydrophobe,Z5020308101,-3.123,-0.098,1.939,,,
Donor,Z56899138,-3.128,-3.229,-0.021,0.321,-0.691,0.648
Donor,Z56899138,5.481,0.496,-0.011,0.529,0.392,0.753
Acceptor,Z56899138,-3.128,-3.229,-0.021,-0.548,-0.83,-0.106
Acceptor,Z56899138,5.481,0.496,-0.011,0.966,-0.227,-0.12
Aromatic,Z56899138,-1.665,-0.899,0.196,0.663,-0.357,-0.658
Aromatic,Z56899138,2.795,1.078,0.243,0.134,0.845,-0.518
LumpedHydrophobe,Z56899138,-1.665,-0.899,0.196,,,
LumpedHydrophobe,Z56899138,2.795,1.078,0.243,,,
Donor,OSSL_301336,5.56,0.564,-0.057,0.496,0.437,0.75
Acceptor,OSSL_301336,5.56,0.564,-0.057,0.98,-0.125,-0.152
Acceptor,OSSL_301336,-2.733,-3.898,0.355,-0.753,-0.06,-0.655
