family,ligand_id,x,y,z,cluster,kept
Acceptor,Z5020308101,5.665,0.66,-0.066,0,1
Acceptor,Z56899138,-3.128,-3.229,-0.021,1,1
Acceptor,Z56899138,5.481,0.496,-0.011,0,1
Acceptor,OSSL_301336,5.559,0.564,-0.057,0,1
Acceptor,OSSL_301336,-2.733,-3.898,0.355,1,1
Acceptor,STL564635,-0.056,-0.87,1.816,1,1
Acceptor,STL564635,5.734,0.848,-0.137,0,1
Acceptor,Z5020307425,5.664,0.661,-0.065,0,1
Acceptor,R035-0073,-3.138,-3.215,-0.024,1,1
Acceptor,R035-0073,5.481,0.493,-0.032,0,1
Acceptor,Z5020304953,5.665,0.66,-0.065,0,1
Acceptor,STK803083,-3.319,-3.608,0.345,1,1
Acceptor,STK803083,0.252,-1.045,2.127,1,1
Acceptor,STK803083,-0.442,1.942,-0.233,1,1
Acceptor,STK803083,1.732,3.162,0.485,0,1
Acceptor,STK803083,5.727,0.615,0.184,0,1
Acceptor,STK025759,5.667,0.66,-0.066,0,1
Acceptor,0417-1650,5.667,0.66,-0.067,0,1
Acceptor,OSSL_302895,5.667,0.66,-0.067,0,1
Acceptor,OSSL_331145,5.822,0.602,0.081,0,1
Acceptor,OSSL_331145,1.932,2.843,1.628,0,1
Acceptor,OSSL_331145,-0.016,1.284,2.394,0,1
Acceptor,OSSL_331145,-3.205,-3.561,-0.053,1,1
Acceptor,00CS-0026,5.667,0.66,-0.066,0,1
Acceptor,Z8849623088,-3.851,-3.163,0.193,1,1
Acceptor,Z8849623088,5.642,0.523,0.027,0,1
Acceptor,0099-0217,5.822,0.602,0.081,0,1
Acceptor,0099-0217,1.932,2.843,1.628,0,1
Acceptor,0099-0217,-0.016,1.284,2.394,0,1
Acceptor,0099-0217,-3.205,-3.561,-0.053,1,1
Acceptor,OSSK_329587,5.667,0.66,-0.066,0,1
Acceptor,STK801744,5.822,0.602,0.081,0,1
Acceptor,STK801744,1.932,2.843,1.628,0,1
Acceptor,STK801744,-0.016,1.284,2.394,0,1
Acceptor,STK801744,-3.205,-3.561,-0.053,1,1
Acceptor,Z56903635,-3.078,-3.206,-0.039,1,1
Acceptor,Z56903635,1.236,5.322,1.369,0,1
Acceptor,Z56903635,5.444,0.474,-0.028,0,1
Acceptor,Z5020304860,-3.498,-3.067,-0.216,1,1
Acceptor,Z5020304860,5.7,0.784,-0.07,0,1
Acceptor,Z2180011391,5.663,0.665,-0.056,0,1
Acceptor,STK801619,5.15,0.346,-0.04,0,1
Acceptor,STK801619,-0.802,-1.933,0.239,1,1
Acceptor,STK801619,-6.817,-0.199,1.148,1,1
Acceptor,STK801619,-3.165,-3.041,0.273,1,1
Acceptor,OSSK_098099,5.15,0.346,-0.04,0,1
Acceptor,OSSK_098099,-0.802,-1.933,0.239,1,1
Acceptor,OSSK_098099,-6.817,-0.199,1.148,1,1
Acceptor,OSSK_098099,-3.165,-3.041,0.273,1,1
Acceptor,Z5020307501,6.042,0.776,-0.038,0,1
Acceptor,Z5020307501,5.444,2.97,0.367,0,1
Acceptor,Z5020307501,-3.169,-3.434,-0.068,1,1
Acceptor,Z1824566795,-6.513,-0.098,1.471,1,1
Acceptor,Z1824566795,-2.9,-3.011,0.333,1,1
Acceptor,Z1824566795,-0.45,-1.885,0.298,1,1
Acceptor,Z1824566795,5.4,0.519,-0.104,0,1
Acceptor,Z9101486005,5.242,0.269,0.124,0,1
Acceptor,Z9101486005,-2.676,-3.254,-0.152,1,1
Acceptor,Z5020305635,-2.597,-2.849,-0.44,1,1
Acceptor,Z5020305635,5.367,0.84,0.086,0,1
Acceptor,Z4224787393,-3.865,-4.274,-0.425,1,1
Acceptor,Z4224787393,-1.854,-0.641,-3.179,1,1
Acceptor,Z4224787393,5.929,1.044,-0.027,0,1
Acceptor,Z5020306225,-3.501,-3.087,-0.267,1,1
Acceptor,Z5020306225,5.707,0.823,-0.068,0,1
Acceptor,Z56857923,5.667,0.66,-0.067,0,1
Acceptor,Z1513879239,5.666,0.661,-0.066,0,1
