target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
esr1,OB2,"(1S,2R,4S)-5,6-bis(4-hydroxyphenyl)-N-methyl-N-phenyl-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonamide",no,5KCD,27870835,10.1038/nchembio.2236,Full antagonism of the estrogen receptor without a prototypical ligand side chain.
esr1,OB3,"(1S,2R,4S)-N-(2-chlorophenyl)-5,6-bis(4-hydroxyphenyl)-N-methyl-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonamide",no,5KCE,27870835,10.1038/nchembio.2236,Full antagonism of the estrogen receptor without a prototypical ligand side chain.
esr1,OB6,"(1S,2R,4S)-N-(4-chlorophenyl)-N-ethyl-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonamide",no,5KCT,27870835,10.1038/nchembio.2236,Full antagonism of the estrogen receptor without a prototypical ligand side chain.
esr1,OB7,"(1R,2S,4R)-N-(4-chlorophenyl)-N-ethyl-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonamide",no,5KCT,27870835,10.1038/nchembio.2236,Full antagonism of the estrogen receptor without a prototypical ligand side chain.
esr1,OBH,"cyclohexa-2,5-dien-1-yl (1S,2R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonate",no,5U2D,28306507,10.1016/j.molcel.2017.02.008,Structural and Molecular Mechanisms of Cytokine-Mediated Endocrine Resistance in Human Breast Cancer Cells.
esr1,OBT,"(1S,2R,4S)-N-(4-chlorophenyl)-5,6-bis(4-hydroxyphenyl)-N-(2,2,2-trifluoroethyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonamide",no,5KD9,27870835,10.1038/nchembio.2236,Full antagonism of the estrogen receptor without a prototypical ligand side chain.
esr1,OFB,"3-fluorophenyl (1S,2R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonate",no,4ZNS,27107013,10.15252/msb.20156701,Predictive features of ligand-specific signaling through the estrogen receptor.
esr1,QHG,"(E)-3-[4-[(1R)-6-HYDROXY-2-ISOBUTYL-3,4-DIHYDRO-1H-ISOQUINOLIN-1-YL]PHENYL]PROP-2-ENOIC ACID",yes,5FQR,26819673,10.1021/ACSMEDCHEMLETT.5B00413,Tetrahydroisoquinoline Phenols: Selective Estrogen Receptor Downregulator Antagonists with Oral Bioavailability in Rat.
esr1,QNE,"~{N}-[4-[(6~{S},8~{R})-7-[(1-fluoranylcyclopropyl)methyl]-8-methyl-2,6,8,9-tetrahydropyrazolo[4,3-f]isoquinolin-6-yl]-3-methoxy-phenyl]-1-(3-fluoranylpropyl)azetidin-3-amine",yes,6ZOQ,32910656,10.1021/acs.jmedchem.0c01163,"Discovery of AZD9833, a Potent and Orally Bioavailable Selective Estrogen Receptor Degrader and Antagonist."
esr1,QYM,"(9beta,11beta,17beta)-11-{4-[2-(dimethylamino)ethoxy]phenyl}estra-1,3,5(10)-triene-3,17-diol",no,7UJO,35575456,10.7554/eLife.72512,Stereospecific lasofoxifene derivatives reveal the interplay between estrogen receptor alpha stability and antagonistic activity in ESR1 mutant breast cancer cells.
