target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
gr_nr3c1,A1ACE,"(4aR,4bS,5R,6aS,6bS,8R,9aR,10aR,10bR)-8-{4-[(3-aminophenyl)methyl]phenyl}-5-hydroxy-6b-(hydroxyacetyl)-4a,6a-dimethyl-4a,4b,5,6,6a,6b,9a,10,10a,10b,11,12-dodecahydro-2H,8H-naphtho[2',1':4,5]indeno[1,2-d][1,3]dioxol-2-one",no,8VKZ,38516584,10.1039/d3md00540b,Minimising the payload solvent exposed hydrophobic surface area optimises the antibody-drug conjugate properties.
gr_nr3c1,B9Q,"~{N}-[(1~{R},2~{S})-1-[1-(4-fluorophenyl)indazol-5-yl]oxy-1-(6-methoxypyridin-3-yl)propan-2-yl]cyclopropanecarboxamide",yes,6EL6,29424542,10.1021/acs.jmedchem.7b01690,Discovery of a Novel Oral Glucocorticoid Receptor Modulator (AZD9567) with Improved Side Effect Profile.
gr_nr3c1,B9T,"~{N}-[(1~{R},2~{S})-1-(2-bromanyl-4-cyano-phenoxy)-1-(2-cyclopropylpyrimidin-5-yl)propan-2-yl]-2,2-bis(fluoranyl)propanamide",yes,6EL7,29424542,10.1021/acs.jmedchem.7b01690,Discovery of a Novel Oral Glucocorticoid Receptor Modulator (AZD9567) with Improved Side Effect Profile.
gr_nr3c1,B9W,"2,2-bis(fluoranyl)-~{N}-[(1~{R},2~{S})-3-methyl-1-[1-(1-methyl-6-oxidanylidene-pyridin-3-yl)indazol-5-yl]oxy-1-phenyl-butan-2-yl]propanamide",yes,6EL9,29424542,10.1021/acs.jmedchem.7b01690,Discovery of a Novel Oral Glucocorticoid Receptor Modulator (AZD9567) with Improved Side Effect Profile.
gr_nr3c1,CV7,DESISOBUYTYRYL CICLESONIDE,yes,4UDD,26602186,10.1016/J.STR.2015.09.012,Ligand Binding Mechanism in Steroid Receptors: From Conserved Plasticity to Differential Evolutionary Constraints.
gr_nr3c1,DAY,"1-[(1R,2R,3aS,3bS,10aR,10bS,11S,12aS)-1,11-dihydroxy-2,5,10a,12a-tetramethyl-7-phenyl-1,2,3,3a,3b,7,10,10a,10b,11,12,12a-dodecahydrocyclopenta[5,6]naphtho[1,2-f]indazol-1-yl]-2-hydroxyethanone",no,3BQD,18160712,10.1128/MCB.01541-07,Doubling the size of the glucocorticoid receptor ligand binding pocket by deacylcortivazol.
gr_nr3c1,E7T,"5-[[(1S,2R,4R)-4-ethyl-6,7-bis(fluoranyl)-2,5-bis(oxidanyl)-2-(trifluoromethyl)-3,4-dihydro-1H-naphthalen-1-yl]amino]-1H-quinolin-2-one",yes,5G3J,28043796,10.1016/J.BMCL.2016.12.047,Discovery of New Selective Glucocorticoid Receptor Agonist Leads.
gr_nr3c1,HJ4,"(8S,11R,13S,14S,17S)-11-[4-(dimethylamino)phenyl]-17-(3,3-dimethylbut-1-yn-1-yl)-17-hydroxy-13-methyl-1,2,6,7,8,11,12,13,14,15,16,17-dodecahydro-3H-cyclopenta[a]phenanthren-3-one (non-preferred name)",yes,6DXK,30091920,10.1021/acs.jmedchem.8b00743,Discovery of a Potent and Selective Steroidal Glucocorticoid Receptor Antagonist (ORIC-101).
gr_nr3c1,JZN,1-{[3-(4-{[(2R)-4-(5-fluoro-2-methoxyphenyl)-2-hydroxy-4-methyl-2-(trifluoromethyl)pentyl]amino}-6-methyl-1H-indazol-1-yl)phenyl]carbonyl}-D-prolinamide,yes,3K23,19822747,10.1073/pnas.0909125106,Design and x-ray crystal structures of high-potency nonsteroidal glucocorticoid agonists exploiting a novel binding site on the receptor.
gr_nr3c1,JZS,"N-[(1R)-2-amino-1-methyl-2-oxoethyl]-3-(6-methyl-4-{[3,3,3-trifluoro-2-hydroxy-2-(trifluoromethyl)propyl]amino}-1H-indazol-1-yl)benzamide",no,3K22,19822747,10.1073/pnas.0909125106,Design and x-ray crystal structures of high-potency nonsteroidal glucocorticoid agonists exploiting a novel binding site on the receptor.
