het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
2CU,"3-amino-5-chloro-N-cyclopropyl-4-methyl-6-[2-(4-methylpiperazin-1-yl)-2-oxoethoxy]thieno[2,3-b]pyridine-2-carboxamide",ligand,False,5,5,7T94,437.944,Cc1c2c(c(sc2nc(c1Cl)OCC(=O)N3CCN(CC3)C)C(=O)NC4CC4)N
ACH,ACETYLCHOLINE,ligand,False,4,4,7T94,146.207,CC(=O)OCC[N+](C)(C)C
3C0,N-methyl scopolamine,ligand,False,3,3,5ZKC,318.387,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)c4ccccc4)C
IXO,"4-(4,5-dihydro-1,2-oxazol-3-yloxy)-N,N,N-trimethylbut-2-yn-1-aminium",ligand,False,3,3,4MQS,197.254,C[N+](C)(C)CC#CCOC1=NOCC1
QNB,(3R)-1-azabicyclo[2.2.2]oct-3-yl hydroxy(diphenyl)acetate,ligand,False,2,2,5ZK3,337.412,c1ccc(cc1)C(c2ccccc2)(C(=O)O[C@H]3CN4CCC3CC4)O
82F,"N-[2-[(2S)-2-[(dipropylamino)methyl]piperidin-1-yl]ethyl]-6-oxidanylidene-5H-pyrido[2,3-b][1,4]benzodiazepine-11-carboxamide",ligand,False,1,1,5ZKB,478.63,CCCN(CCC)C[C@@H]1CCCCN1CCNC(=O)N2c3ccccc3C(=O)Nc4c2nccc4
HG,MERCURY (II) ION,metal,True,1,3,5YC8,200.59,[Hg+2]
