het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
SRO,c1cc2c(cc1O)c(c[nH]2)CCN,[NH3+]CCc1c[nH]c2ccc(O)cc12,7.4,4,6.82;9.27;10.00;11.12,phenol@10:9.69->10.00,pkasolver+phenol_rule
TC9,C[N@H+]1CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5c6c(cc(c5O)OC)CC[N+]([C@@H]6Cc7ccc(c(c7)O3)O)(C)C)OC,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3[NH+](C)CC2)CC[N+]1(C)C,7.4,3,7.71;10.00;10.00,phenol@25:8.15->10.00;phenol@15:8.49->10.00,pkasolver+phenol_rule
TI4,c1cc(cnc1)[C@H]2C3C[C@H]4C[C@@H](C3)CN2C4,c1cncc([C@H]2C3C[C@@H]4C[C@H](C3)C[NH+]2C4)c1,7.4,2,6.00;8.92,,pkasolver
TI9,c1cc(cnc1)C#C[C@@H]2CCCN2,C(#C[C@@H]1CCCN1)c1cccnc1,7.4,2,2.84;6.18,,pkasolver
TII,CC(C)Oc1cc(cnc1)N2CC[C@@]3(C2)CCCN3C,CC(C)Oc1cncc(N2CC[C@]3(CCC[NH+]3C)C2)c1,7.4,3,5.81;6.92;8.91,,pkasolver
TUB,C[N@]1CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5c6c(cc(c5O)OC)CC[N+]([C@H]6Cc7ccc(c(c7)O3)O)(C)C)OC,COc1cc2c3cc1Oc1cc(ccc1O)C[C@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3[NH+](C)CC2)CC[N+]1(C)C,7.4,3,7.71;10.00;10.00,phenol@25:8.15->10.00;phenol@15:8.49->10.00,pkasolver+phenol_rule
U8Q,c1cc(ccc1C(F)(F)F)OC2CCNCC2,FC(F)(F)c1ccc(OC2CC[NH2+]CC2)cc1,7.4,1,9.81,,pkasolver
U8T,c1cc2c(cc1Br)C(=O)CC3(O2)CCNCC3,O=C1CC2(CC[NH2+]CC2)Oc2ccc(Br)cc21,7.4,1,8.58,,pkasolver
V11,c1ccc(cc1)[C@H](CN2[C@H]3CC[C@@H]2CC(C3)OC(=O)c4ccccc4)O,O=C(OC1C[C@H]2CC[C@@H](C1)[NH+]2C[C@H](O)c1ccccc1)c1ccccc1,7.4,2,8.61;9.87,,pkasolver
V37,c1ccc(cc1)CCN2[C@@H]3CC[C@H]2CC(C3)OC(=O)c4ccccc4,O=C(OC1C[C@H]2CC[C@@H](C1)[NH+]2CCc1ccccc1)c1ccccc1,7.4,1,8.92,,pkasolver
