family,ligand_id,x,y,z,dx,dy,dz
Acceptor,Z3235143301,-0.404,0.482,-1.265,0.284,-0.371,-0.884
PosIonizable,Z3235143301,-1.547,0.22,1.277,,,
Aromatic,Z3235143301,2.853,-0.737,-0.904,0.007,0.541,-0.841
Acceptor,Z2380440630,2.802,-1.885,-1.643,-0.007,-0.838,-0.545
PosIonizable,Z2380440630,-1.549,0.235,1.288,,,
Aromatic,Z2380440630,2.835,-0.739,-0.897,0.031,0.545,-0.838
Acceptor,MCULE-4609409020,2.602,-1.877,-1.563,0.267,-0.76,-0.593
PosIonizable,MCULE-4609409020,-0.951,0.171,1.035,,,
Aromatic,MCULE-4609409020,2.227,-0.811,-0.731,0.013,-0.612,0.791
Acceptor,MCULE-3270971174,2.796,-1.894,-1.643,0.005,-0.835,-0.55
PosIonizable,MCULE-3270971174,-1.509,0.231,1.272,,,
Aromatic,MCULE-3270971174,2.787,-0.724,-0.872,0.679,-0.4,0.616
Acceptor,MCULE-8195682194,2.61,-1.857,-1.556,0.195,-0.788,-0.583
Acceptor,MCULE-8195682194,4.395,-0.645,-2.518,0.57,0.818,-0.074
PosIonizable,MCULE-8195682194,-0.968,0.117,1.006,,,
Aromatic,MCULE-8195682194,2.335,-0.753,-0.73,0.617,-0.37,0.694
Acceptor,Z1209979984,2.919,-1.892,-1.686,-0.207,-0.85,-0.485
PosIonizable,Z1209979984,-1.858,0.23,1.394,,,
Aromatic,Z1209979984,3.208,-0.702,-1.006,-0.037,-0.49,0.871
Acceptor,MCULE-1517104178,-0.088,1.254,-2.132,0.635,0.426,-0.645
Acceptor,MCULE-1517104178,2.74,-1.876,-1.615,0.048,-0.828,-0.558
PosIonizable,MCULE-1517104178,-1.342,0.183,1.181,,,
Aromatic,MCULE-1517104178,2.669,-0.72,-0.826,0.343,0.546,-0.765
Acceptor,Z9478993253,4.81,-1.309,-2.698,0.715,-0.214,-0.665
Acceptor,Z9478993253,2.844,-1.906,-1.668,-0.037,-0.841,-0.54
PosIonizable,Z9478993253,-1.649,0.267,1.345,,,
Aromatic,Z9478993253,2.895,-0.725,-0.91,-0.518,0.477,-0.71
Acceptor,Z3243815051,2.88,-1.923,-1.692,-0.017,-0.839,-0.545
PosIonizable,Z3243815051,-1.749,0.339,1.427,,,
Aromatic,Z3243815051,2.893,-0.768,-0.938,0.293,-0.525,0.799
Acceptor,Z2298167235,2.67,-1.891,-1.598,0.202,-0.785,-0.586
PosIonizable,Z2298167235,2.515,-1.795,2.847,,,
PosIonizable,Z2298167235,-1.152,0.218,1.137,,,
Aromatic,Z2298167235,2.387,-0.791,-0.774,0.943,-0.007,0.332
Acceptor,MCULE-2253838370,2.835,-1.889,-1.654,-0.075,-0.845,-0.529
PosIonizable,MCULE-2253838370,-1.619,0.219,1.303,,,
Aromatic,MCULE-2253838370,2.939,-0.705,-0.913,0.71,0.328,-0.623
Acceptor,Z1993626917,2.84,-1.704,-1.541,-0.475,-0.806,-0.354
PosIonizable,Z1993626917,-1.481,-0.153,1.009,,,
PosIonizable,Z1993626917,3.393,-0.763,-1.108,,,
Aromatic,Z1993626917,3.393,-0.763,-1.108,0.247,-0.529,0.812
Acceptor,MCULE-9140680577,2.702,-1.82,-1.564,0.105,-0.815,-0.57
PosIonizable,MCULE-9140680577,-1.274,0.19,1.161,,,
PosIonizable,MCULE-9140680577,5.977,-0.797,-0.491,,,
PosIonizable,MCULE-9140680577,2.591,-0.859,-0.89,,,
Aromatic,MCULE-9140680577,2.591,-0.859,-0.89,-0.198,0.549,-0.812
Acceptor,MCULE-8695927329,2.793,-1.803,-1.58,-0.09,-0.846,-0.525
PosIonizable,MCULE-8695927329,-1.491,0.145,1.209,,,
PosIonizable,MCULE-8695927329,2.918,-0.803,-0.971,,,
Aromatic,MCULE-8695927329,2.918,-0.803,-0.971,-0.505,0.494,-0.708
LumpedHydrophobe,MCULE-8695927329,1.957,0.731,1.779,,,
Acceptor,H050-0001,3.304,-2.021,-2.31,-0.277,-0.952,-0.131
Acceptor,H050-0001,4.102,0.669,-1.957,0.288,0.95,0.119
PosIonizable,H050-0001,-1.553,0.419,1.41,,,
Aromatic,H050-0001,2.238,-0.482,-0.305,0.73,-0.298,0.615
Aromatic,H050-0001,3.7,-0.676,-2.131,-0.73,0.298,-0.616
LumpedHydrophobe,H050-0001,2.238,-0.482,-0.305,,,
LumpedHydrophobe,H050-0001,0.976,-0.34,1.473,,,
