het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
LBN,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,7.4,1,7.08,,pkasolver
P9N,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,7.4,1,9.07,,pkasolver
PFL,CC(C)c1cccc(c1O)C(C)C,CC(C)c1cccc(C(C)C)c1O,7.4,1,10.00,phenol@12:11.01->10.00,pkasolver+phenol_rule
PT5,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@@H]1[C@@H]([C@@H]([C@H]([C@@H]([C@H]1O)OP(=O)(O)O)OP(=O)(O)O)O)O)OC(=O)CCCC=CC/C=C\CC=CCC=CCCCCC,CCCCCC=CCC=CC/C=C\CC=CCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1[C@H]([O-])[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,7.4,2,4.72;6.68,,pkasolver
QMU,CC(C)(C)OC(=O)c1c2n(cn1)-c3cccc(c3C(=O)N4[C@H]2CCC4)Br,CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,7.4,2,3.25;3.89,,pkasolver
R5R,Cc1ccc(cc1)c2c(n3cc(ccc3n2)C)CC(=O)N(C)C,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,7.4,2,4.38;6.38,,pkasolver
R63,CCc1c2c3cc(c(cc3[nH]c2cnc1C(=O)OC)OC)OC,CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12,7.4,3,5.29;6.43;10.21,,pkasolver
TOR,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,7.4,2,7.28;8.90,,pkasolver
UND,CCCCCCCCCCC,CCCCCCCCCCC,7.4,0,,,pkasolver:no_ionizable
UQA,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,7.4,2,7.57;8.00,,pkasolver
Y4B,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,7.4,1,9.07,,pkasolver
ZWY,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C,C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,7.4,0,,,pkasolver:no_ionizable
